,Tm,PointsAllowed,TotalYardsAllowed,OffensivePlaysAllowed,YardsPerPlay,TO,ForcedFumbles,TotalFirstDownsAllowed,Cmp,PassingAttAllowed,PassingYardsAllowed,PassingTDAllowed,Int,NetYardsAllowedPerPass,PassingFirstDownsAllowed,RushingAttAllowed,RushingYdsAllowed,RushingTDAllowed,YardsPerRushAllowed,RushingFirstDownsAllowed,PenaltiesCommitted,PenaltyYardsAllowed,FirstDownsViaPenalty,PercentageOfDrivesEndingInOffensiveScores,PercentDrivesEndingInTO,EXP,PassingFantasyPointsAllowed,PPRReceivingFantasyPointsAllowed,HalfPPRReceivingFantasyPointsAllowed,StandardReceivingFantasyPointsAllowed,RushingFantasyPointsAllowed,PassingDefRank,PPRReceivingDefRank,HalfPPRReceivingDefRank,StandardReceivingDefRank,RushingDefRank,PPRFantasyPointsAllowed,PPRDefRank,HalfPPRFantasyPointsAllowed,HalfPPRDefRank,StandardFantasyPointsAllowed,StandardDefRank
0,Baltimore Ravens,165.0,3967.0,924.0,4.3,49.0,26.0,216.0,295.0,528.0,2997.0,11.0,23.0,5.3,135.0,361.0,970.0,5.0,2.7,59.0,84.0,535.0,22.0,15.5,23.7,431.92,117.88,660.7,513.2,365.7,75.0,3.0,6.0,4.0,4.0,1.0,853.58,2.0,706.08,2.0,558.5799999999999,1.0
1,Tennessee Titans,191.0,3813.0,908.0,4.2,30.0,13.0,215.0,242.0,466.0,2423.0,10.0,17.0,4.7,134.0,387.0,1390.0,7.0,3.6,62.0,97.0,778.0,19.0,18.1,13.8,286.03,102.92,544.3,423.3,302.3,155.0,1.0,1.0,1.0,1.0,3.0,802.22,1.0,681.22,1.0,560.22,2.0
2,Miami Dolphins,226.0,4636.0,995.0,4.7,41.0,13.0,289.0,282.0,530.0,2900.0,13.0,28.0,5.0,156.0,417.0,1736.0,9.0,4.2,92.0,86.0,793.0,41.0,22.8,19.7,224.91,112.0,650.0,509.0,368.0,201.6,2.0,3.0,3.0,5.0,8.0,963.6,4.0,822.6,4.0,681.6,4.0
3,Philadelphia Eagles,245.0,4820.0,1055.0,4.6,31.0,12.0,295.0,314.0,552.0,2990.0,11.0,19.0,5.0,159.0,453.0,1830.0,10.0,4.0,105.0,111.0,936.0,31.0,25.1,14.9,222.88,125.6,679.0,522.0,365.0,219.0,5.0,9.0,6.0,3.0,15.0,1023.6,7.0,866.6,6.0,709.6,6.0
4,New York Giants,246.0,4546.0,988.0,4.6,31.0,11.0,274.0,327.0,585.0,3390.0,23.0,20.0,5.4,181.0,359.0,1156.0,7.0,3.2,62.0,80.0,728.0,31.0,22.6,15.3,266.17,187.6,804.0,640.5,477.0,135.6,15.0,17.0,17.0,17.0,2.0,1127.2,13.0,963.7,12.0,800.2,12.0
5,Pittsburgh Steelers,255.0,4713.0,985.0,4.8,35.0,18.0,252.0,280.0,521.0,3020.0,13.0,17.0,5.4,153.0,425.0,1693.0,9.0,4.0,82.0,105.0,876.0,17.0,26.7,16.8,219.17,138.8,660.0,520.0,380.0,187.3,7.0,4.0,5.0,6.0,5.0,986.1,5.0,846.1,5.0,706.1,5.0
6,Washington Redskins,269.0,4474.0,937.0,4.8,33.0,16.0,254.0,254.0,462.0,2621.0,12.0,17.0,5.2,134.0,430.0,1853.0,9.0,4.3,97.0,106.0,790.0,23.0,28.3,16.7,198.36,118.84,588.1,461.1,334.1,207.3,4.0,2.0,2.0,2.0,11.0,914.24,3.0,787.24,3.0,660.24,3.0
7,Tampa Bay Buccaneers,269.0,4800.0,1047.0,4.6,41.0,16.0,283.0,339.0,594.0,3152.0,15.0,25.0,4.9,180.0,398.0,1648.0,12.0,4.1,84.0,95.0,688.0,19.0,24.1,19.7,268.79,136.07999999999998,744.2,574.7,405.2,204.8,6.0,15.0,13.0,10.0,10.0,1085.08,10.0,915.58,9.0,746.0799999999999,7.0
8,Oakland Raiders,299.0,5249.0,1014.0,5.2,37.0,16.0,320.0,359.0,588.0,3698.0,25.0,21.0,5.9,202.0,383.0,1551.0,8.0,4.0,85.0,117.0,912.0,33.0,26.9,18.7,185.58,205.92,878.8,699.3,519.8,171.1,19.0,29.0,26.0,25.0,4.0,1255.82,20.0,1076.32,17.0,896.8199999999999,15.0
9,New Orleans Saints,305.0,4743.0,949.0,5.0,35.0,15.0,279.0,285.0,488.0,3071.0,17.0,20.0,5.5,159.0,395.0,1672.0,14.0,4.2,95.0,105.0,837.0,25.0,27.7,17.5,130.28,150.84,694.1,551.6,409.1,221.2,10.0,11.0,10.0,11.0,16.0,1066.1399999999999,9.0,923.64,10.0,781.14,10.0
10,Detroit Lions,307.0,5033.0,993.0,5.1,42.0,17.0,279.0,311.0,544.0,3210.0,16.0,25.0,5.6,159.0,421.0,1823.0,14.0,4.3,96.0,112.0,913.0,24.0,27.7,19.3,200.51,142.4,728.0,572.5,417.0,232.3,8.0,14.0,12.0,12.0,20.0,1102.7,11.0,947.2,11.0,791.7,11.0
11,Carolina Panthers,310.0,5656.0,1005.0,5.6,38.0,21.0,304.0,352.0,552.0,3712.0,19.0,17.0,6.4,184.0,426.0,1944.0,12.0,4.6,107.0,128.0,1073.0,13.0,28.7,19.1,109.99,190.48,837.2,661.2,485.2,224.39999999999998,16.0,23.0,21.0,18.0,17.0,1252.08,18.0,1076.08,16.0,900.0799999999999,16.0
12,New York Jets,321.0,4820.0,1033.0,4.7,35.0,14.0,267.0,265.0,517.0,2932.0,17.0,21.0,5.3,152.0,476.0,1888.0,9.0,4.0,98.0,100.0,832.0,17.0,27.7,16.3,156.23,143.28,660.2,527.7,395.2,214.8,9.0,5.0,7.0,9.0,13.0,1018.2800000000001,6.0,885.7800000000001,7.0,753.28,8.0
13,Green Bay Packers,323.0,5069.0,1012.0,5.0,28.0,7.0,284.0,307.0,557.0,3451.0,28.0,21.0,5.8,186.0,417.0,1618.0,7.0,3.9,84.0,101.0,992.0,14.0,28.6,12.8,154.42,208.04,820.1,666.6,513.1,189.8,22.0,20.0,22.0,24.0,6.0,1217.94,15.0,1064.44,15.0,910.94,17.0
14,Indianapolis Colts,326.0,5357.0,1018.0,5.3,22.0,8.0,310.0,317.0,530.0,3422.0,22.0,14.0,6.0,177.0,446.0,1935.0,13.0,4.3,109.0,103.0,820.0,24.0,31.1,11.7,64.32,196.88,791.2,632.7,474.2,255.5,18.0,16.0,16.0,16.0,23.0,1243.58,17.0,1085.08,18.0,926.5799999999999,18.0
15,Jacksonville Jaguars,327.0,4845.0,934.0,5.2,30.0,18.0,252.0,258.0,458.0,3160.0,23.0,12.0,6.3,144.0,436.0,1685.0,14.0,3.9,85.0,96.0,814.0,23.0,27.6,13.8,138.56,194.4,712.0,583.0,454.0,216.5,17.0,12.0,15.0,15.0,14.0,1122.9,12.0,993.9,13.0,864.9,13.0
16,New England Patriots,338.0,5353.0,1068.0,5.0,23.0,13.0,326.0,321.0,544.0,3522.0,23.0,10.0,6.1,184.0,495.0,1831.0,12.0,3.7,108.0,95.0,897.0,34.0,31.2,11.6,95.21,212.88,811.2,650.7,490.2,229.1,24.0,19.0,18.0,19.0,18.0,1253.18,19.0,1092.68,19.0,932.1800000000001,19.0
17,Buffalo Bills,350.0,4426.0,966.0,4.6,29.0,13.0,252.0,283.0,480.0,2867.0,18.0,16.0,5.5,153.0,444.0,1559.0,13.0,3.5,76.0,103.0,905.0,23.0,30.2,14.1,214.42,154.68,677.7,536.2,394.7,207.9,11.0,8.0,9.0,8.0,12.0,1040.2800000000002,8.0,898.7800000000001,8.0,757.28,9.0
18,Kansas City Chiefs,354.0,5280.0,1041.0,5.1,29.0,14.0,330.0,358.0,549.0,3471.0,25.0,15.0,5.8,201.0,441.0,1809.0,13.0,4.1,103.0,108.0,1020.0,26.0,30.3,14.4,112.92,208.84,855.1,676.1,497.1,230.89999999999998,23.0,25.0,24.0,21.0,19.0,1294.8400000000001,24.0,1115.8400000000001,21.0,936.84,20.0
19,Chicago Bears,355.0,5234.0,1035.0,5.1,20.0,9.0,297.0,332.0,530.0,3407.0,25.0,11.0,6.0,172.0,469.0,1827.0,15.0,3.9,106.0,78.0,727.0,19.0,29.7,9.7,130.97,214.28,822.7,656.7,490.7,254.7,25.0,21.0,20.0,20.0,22.0,1291.68,23.0,1125.68,23.0,959.6800000000001,21.0
20,Cincinnati Bengals,359.0,5487.0,1068.0,5.1,21.0,12.0,307.0,318.0,538.0,3562.0,26.0,9.0,6.3,182.0,504.0,1925.0,12.0,3.8,101.0,115.0,924.0,24.0,32.8,9.7,136.24,228.48,830.2,671.2,512.2,240.5,27.0,22.0,23.0,23.0,21.0,1299.18,25.0,1140.18,25.0,981.1800000000001,24.0
21,Dallas Cowboys,361.0,5329.0,1021.0,5.2,25.0,9.0,309.0,277.0,458.0,2693.0,20.0,16.0,5.6,145.0,538.0,2636.0,17.0,4.9,137.0,108.0,999.0,27.0,34.2,12.5,51.98,155.72,666.3,527.8,389.3,347.6,12.0,7.0,8.0,7.0,29.0,1169.62,14.0,1031.12,14.0,892.6200000000001,14.0
22,Denver Broncos,369.0,5544.0,962.0,5.8,44.0,17.0,294.0,310.0,574.0,3946.0,26.0,27.0,6.4,189.0,344.0,1598.0,13.0,4.6,80.0,109.0,898.0,25.0,30.2,20.8,104.83,207.84,860.6,705.6,550.6,203.8,21.0,26.0,28.0,29.0,9.0,1272.24,21.0,1117.24,22.0,962.24,22.0
23,Minnesota Vikings,371.0,5701.0,1011.0,5.6,18.0,10.0,344.0,369.0,584.0,3913.0,23.0,8.0,6.4,208.0,396.0,1788.0,17.0,4.5,110.0,104.0,747.0,26.0,38.2,9.4,2.03,232.52,898.3,713.8,529.3,260.8,29.0,31.0,29.0,26.0,24.0,1391.62,29.0,1207.12,28.0,1022.62,27.0
24,Seattle Seahawks,405.0,6391.0,1019.0,6.3,29.0,12.0,331.0,309.0,489.0,3937.0,23.0,17.0,7.6,185.0,503.0,2454.0,20.0,4.9,126.0,96.0,694.0,20.0,38.4,15.1,49.05,215.48,840.7,686.2,531.7,341.4,26.0,24.0,25.0,27.0,28.0,1397.58,30.0,1243.08,31.0,1088.58,31.0
25,Atlanta Falcons,413.0,5607.0,999.0,5.6,25.0,10.0,308.0,306.0,515.0,3624.0,23.0,15.0,6.6,175.0,453.0,1983.0,16.0,4.4,113.0,122.0,1010.0,20.0,37.0,12.5,88.81,206.96,806.4,653.4,500.4,274.3,20.0,18.0,19.0,22.0,26.0,1287.6599999999999,22.0,1134.6599999999999,24.0,981.66,25.0
26,Cleveland Browns,419.0,5643.0,1122.0,5.0,25.0,13.0,343.0,262.0,486.0,3138.0,18.0,12.0,5.9,169.0,594.0,2505.0,26.0,4.2,147.0,71.0,626.0,27.0,39.1,10.9,49.34,173.51999999999998,683.8,552.8,421.8,380.5,13.0,10.0,11.0,13.0,30.0,1237.82,16.0,1106.82,20.0,975.8199999999999,23.0
27,San Francisco 49ers,422.0,5709.0,1031.0,5.5,21.0,8.0,347.0,320.0,558.0,3915.0,25.0,13.0,6.6,194.0,435.0,1794.0,22.0,4.1,110.0,102.0,857.0,43.0,39.9,10.9,11.43,230.6,861.5,701.5,541.5,295.4,28.0,27.0,27.0,28.0,27.0,1387.5,28.0,1227.5,29.0,1067.5,29.0
28,San Diego Chargers,440.0,4959.0,1061.0,4.7,22.0,6.0,312.0,326.0,552.0,3537.0,33.0,16.0,6.0,195.0,470.0,1422.0,10.0,3.0,76.0,106.0,851.0,41.0,35.2,9.5,196.96,241.48,877.7,714.7,551.7,190.2,30.0,28.0,30.0,30.0,7.0,1309.38,26.0,1146.38,26.0,983.38,26.0
29,Arizona Cardinals,443.0,5737.0,1062.0,5.4,20.0,10.0,345.0,296.0,459.0,3128.0,19.0,10.0,6.5,175.0,578.0,2609.0,29.0,4.5,149.0,96.0,914.0,21.0,42.1,11.2,25.06,181.12,722.8,574.8,426.8,414.9,14.0,13.0,14.0,14.0,31.0,1318.82,27.0,1170.82,27.0,1022.8199999999999,28.0
30,St. Louis Rams,471.0,5494.0,968.0,5.7,25.0,6.0,321.0,323.0,534.0,3797.0,32.0,19.0,6.5,195.0,383.0,1697.0,18.0,4.4,95.0,101.0,747.0,31.0,40.9,12.4,21.56,241.88,894.7,733.2,571.7,265.7,31.0,30.0,31.0,31.0,25.0,1402.28,31.0,1240.78,30.0,1079.28,30.0
