,Tm,PointsAllowed,TotalYardsAllowed,OffensivePlaysAllowed,YardsPerPlay,TO,ForcedFumbles,TotalFirstDownsAllowed,Cmp,PassingAttAllowed,PassingYardsAllowed,PassingTDAllowed,Int,NetYardsAllowedPerPass,PassingFirstDownsAllowed,RushingAttAllowed,RushingYdsAllowed,RushingTDAllowed,YardsPerRushAllowed,RushingFirstDownsAllowed,PenaltiesCommitted,PenaltyYardsAllowed,FirstDownsViaPenalty,PercentageOfDrivesEndingInOffensiveScores,PercentDrivesEndingInTO,PassingFantasyPointsAllowed,PPRReceivingFantasyPointsAllowed,HalfPPRReceivingFantasyPointsAllowed,StandardReceivingFantasyPointsAllowed,RushingFantasyPointsAllowed,PassingDefRank,PPRReceivingDefRank,HalfPPRReceivingDefRank,StandardReceivingDefRank,RushingDefRank,PPRFantasyPointsAllowed,PPRDefRank,HalfPPRFantasyPointsAllowed,HalfPPRDefRank,StandardFantasyPointsAllowed,StandardDefRank
0,New Orleans Saints,211.0,3933.0,875.0,4.5,48.0,19.0,214.0,259.0,491.0,2720.0,12.0,29.0,5.0,139.0,334.0,1213.0,6.0,3.6,63.0,95.0,711.0,12.0,,,98.8,603.0,473.5,344.0,119.30000000000001,1.0,3.0,3.0,2.0,2.0,821.1,2.0,691.6,2.0,562.1,2.0
1,Washington Redskins,224.0,4293.0,946.0,4.5,41.0,14.0,242.0,292.0,548.0,2947.0,13.0,27.0,4.9,151.0,348.0,1346.0,11.0,3.9,72.0,94.0,767.0,19.0,,,115.88,664.7,518.7,372.7,172.6,4.0,8.0,7.0,5.0,8.0,953.1800000000001,4.0,807.1800000000001,4.0,661.1800000000001,3.0
2,Denver Broncos,235.0,4549.0,939.0,4.8,33.0,10.0,242.0,246.0,476.0,2755.0,12.0,23.0,5.2,147.0,411.0,1794.0,8.0,4.4,81.0,105.0,848.0,14.0,,,112.2,593.5,470.5,347.5,207.4,3.0,2.0,2.0,3.0,13.0,913.1,3.0,790.1,3.0,667.1,4.0
3,San Francisco 49ers,239.0,4554.0,929.0,4.9,28.0,16.0,260.0,267.0,499.0,3042.0,16.0,12.0,5.7,155.0,399.0,1512.0,8.0,3.8,86.0,84.0,782.0,19.0,,,161.68,667.2,533.7,400.2,167.2,14.0,9.0,9.0,8.0,7.0,996.08,5.0,862.58,5.0,729.0799999999999,6.0
4,Philadelphia Eagles,244.0,3549.0,905.0,3.9,48.0,22.0,206.0,206.0,467.0,2413.0,16.0,26.0,4.6,133.0,383.0,1136.0,4.0,3.0,53.0,105.0,881.0,20.0,,,108.52,543.3,440.3,337.3,93.6,2.0,1.0,1.0,1.0,1.0,745.42,1.0,642.4200000000001,1.0,539.4200000000001,1.0
5,Houston Oilers,251.0,4748.0,984.0,4.8,38.0,18.0,280.0,310.0,532.0,3208.0,17.0,20.0,5.6,163.0,407.0,1540.0,8.0,3.8,94.0,109.0,797.0,23.0,,,156.32,732.8,577.8,422.8,166.0,8.0,17.0,16.0,15.0,6.0,1055.12,9.0,900.1199999999999,9.0,745.12,7.0
6,Kansas City Chiefs,252.0,4998.0,927.0,5.4,33.0,18.0,275.0,279.0,471.0,3228.0,17.0,15.0,6.3,168.0,417.0,1770.0,8.0,4.2,88.0,110.0,827.0,19.0,,,167.12,703.8,564.3,424.8,189.0,16.0,12.0,14.0,17.0,11.0,1059.92,10.0,920.42,10.0,780.9200000000001,10.0
7,Seattle Seahawks,261.0,4703.0,988.0,4.8,39.0,21.0,262.0,296.0,517.0,3019.0,18.0,18.0,5.5,159.0,435.0,1684.0,4.0,3.9,91.0,108.0,845.0,12.0,,,156.76,705.9,557.9,409.9,150.4,9.0,13.0,12.0,10.0,4.0,1013.06,6.0,865.06,6.0,717.06,5.0
8,Chicago Bears,269.0,4507.0,942.0,4.8,30.0,13.0,254.0,286.0,513.0,2927.0,19.0,17.0,5.3,164.0,389.0,1580.0,9.0,4.1,77.0,94.0,891.0,13.0,,,159.07999999999998,692.7,549.7,406.7,186.0,13.0,10.0,10.0,9.0,9.0,1037.78,8.0,894.78,8.0,751.78,8.0
9,New York Jets,293.0,4981.0,954.0,5.2,37.0,19.0,298.0,331.0,540.0,3539.0,21.0,18.0,6.2,185.0,379.0,1442.0,8.0,3.8,94.0,93.0,774.0,19.0,,,189.56,810.9,645.4,479.9,154.2,24.0,25.0,25.0,23.0,5.0,1154.6599999999999,18.0,989.16,16.0,823.66,13.0
10,Detroit Lions,295.0,5046.0,1008.0,5.0,36.0,17.0,305.0,315.0,534.0,3286.0,16.0,19.0,5.8,189.0,444.0,1760.0,16.0,4.0,93.0,94.0,704.0,23.0,,,157.44,739.6,582.1,424.6,238.0,11.0,18.0,17.0,16.0,17.0,1135.04,15.0,977.54,14.0,820.04,12.0
11,Los Angeles Raiders,297.0,5165.0,1002.0,5.2,31.0,13.0,305.0,295.0,513.0,3276.0,18.0,18.0,5.9,176.0,447.0,1889.0,13.0,4.2,108.0,111.0,905.0,21.0,,,167.04,730.6,583.1,435.6,240.89999999999998,15.0,16.0,18.0,18.0,19.0,1138.54,16.0,991.04,17.0,843.54,19.0
12,New York Giants,297.0,4600.0,888.0,5.2,21.0,9.0,257.0,251.0,440.0,2874.0,17.0,12.0,6.1,138.0,414.0,1726.0,11.0,4.2,103.0,80.0,622.0,16.0,,,158.95999999999998,640.4,514.9,389.4,220.6,12.0,6.0,6.0,7.0,15.0,1019.9599999999999,7.0,894.4599999999999,7.0,768.9599999999999,9.0
13,Cleveland Browns,298.0,5084.0,1004.0,5.1,33.0,18.0,298.0,312.0,522.0,3209.0,20.0,15.0,5.8,179.0,447.0,1875.0,12.0,4.2,100.0,103.0,770.0,19.0,,,178.36,752.9,596.9,440.9,223.5,19.0,21.0,19.0,19.0,16.0,1154.76,19.0,998.76,20.0,842.76,18.0
14,New England Patriots,305.0,5431.0,1050.0,5.2,31.0,19.0,312.0,335.0,565.0,3852.0,25.0,12.0,6.5,199.0,460.0,1579.0,5.0,3.4,94.0,83.0,608.0,19.0,,,230.08,870.2,702.7,535.2,149.9,28.0,28.0,27.0,27.0,3.0,1250.18,27.0,1082.68,26.0,915.1800000000001,24.0
15,Minnesota Vikings,306.0,5016.0,988.0,5.1,28.0,11.0,301.0,286.0,499.0,3179.0,16.0,17.0,6.0,172.0,456.0,1837.0,17.0,4.0,106.0,92.0,709.0,23.0,,,157.16,699.9,556.9,413.9,263.7,10.0,11.0,11.0,13.0,22.0,1120.76,14.0,977.76,15.0,834.76,15.0
16,Dallas Cowboys,310.0,5066.0,963.0,5.3,23.0,11.0,299.0,320.0,540.0,3495.0,17.0,12.0,6.2,180.0,400.0,1571.0,11.0,3.9,103.0,97.0,801.0,16.0,,,183.8,771.5,611.5,451.5,201.1,21.0,23.0,21.0,21.0,12.0,1156.4,20.0,996.4,18.0,836.4,17.0
17,Green Bay Packers,313.0,4812.0,1033.0,4.7,29.0,14.0,298.0,305.0,531.0,3266.0,20.0,15.0,5.7,177.0,457.0,1546.0,10.0,3.4,99.0,106.0,777.0,22.0,,,180.64,751.6,599.1,446.6,186.6,20.0,20.0,20.0,20.0,10.0,1118.8400000000001,13.0,966.34,13.0,813.84,11.0
18,Buffalo Bills,318.0,5458.0,1086.0,5.0,37.0,14.0,335.0,299.0,536.0,3414.0,12.0,23.0,6.0,166.0,519.0,2044.0,20.0,3.9,138.0,110.0,938.0,31.0,,,138.56,712.4,562.9,413.4,296.4,6.0,14.0,13.0,12.0,24.0,1147.36,17.0,997.8599999999999,19.0,848.3599999999999,20.0
19,Atlanta Falcons,338.0,5248.0,976.0,5.4,35.0,16.0,278.0,252.0,481.0,3295.0,28.0,19.0,6.5,157.0,466.0,1953.0,13.0,4.2,94.0,100.0,802.0,27.0,,,205.8,749.5,623.5,497.5,241.3,25.0,19.0,22.0,25.0,20.0,1196.6,22.0,1070.6,25.0,944.6,26.0
20,San Diego Chargers,342.0,5111.0,961.0,5.3,28.0,9.0,292.0,300.0,503.0,3445.0,22.0,19.0,6.5,181.0,430.0,1666.0,15.0,3.9,94.0,87.0,718.0,17.0,,,187.8,776.5,626.5,476.5,238.60000000000002,22.0,24.0,23.0,22.0,18.0,1202.9,23.0,1052.9,22.0,902.9000000000001,22.0
21,Pittsburgh Steelers,344.0,5168.0,1039.0,5.0,30.0,11.0,320.0,334.0,535.0,3586.0,21.0,19.0,6.3,194.0,466.0,1582.0,14.0,3.4,98.0,84.0,685.0,28.0,,,189.44,818.6,651.6,484.6,220.2,23.0,26.0,26.0,24.0,14.0,1228.24,25.0,1061.24,24.0,894.24,21.0
22,Phoenix Cardinals,344.0,5052.0,965.0,5.2,38.0,21.0,301.0,268.0,447.0,2916.0,12.0,17.0,6.2,156.0,493.0,2136.0,27.0,4.3,132.0,94.0,734.0,13.0,,,130.64,631.6,497.6,363.6,333.6,5.0,4.0,4.0,4.0,27.0,1095.8400000000001,12.0,961.84,11.0,827.84,14.0
23,Miami Dolphins,349.0,5406.0,1019.0,5.3,21.0,9.0,327.0,300.0,485.0,3105.0,18.0,12.0,6.0,177.0,499.0,2301.0,17.0,4.6,133.0,91.0,684.0,17.0,,,172.2,718.5,568.5,418.5,314.1,18.0,15.0,15.0,14.0,26.0,1204.8,24.0,1054.8,23.0,904.8,23.0
24,Tampa Bay Buccaneers,365.0,4979.0,989.0,5.0,27.0,16.0,295.0,257.0,438.0,2872.0,15.0,11.0,6.0,147.0,512.0,2107.0,21.0,4.1,120.0,110.0,925.0,28.0,,,152.88,634.2,505.7,377.2,304.7,7.0,5.0,5.0,6.0,25.0,1091.78,11.0,963.28,12.0,834.78,16.0
25,Indianapolis Colts,381.0,5127.0,961.0,5.3,28.0,13.0,305.0,240.0,388.0,2800.0,22.0,15.0,6.7,152.0,544.0,2327.0,23.0,4.3,140.0,88.0,645.0,13.0,,,170.0,652.0,532.0,412.0,344.7,17.0,7.0,8.0,11.0,28.0,1166.7,21.0,1046.7,21.0,926.7,25.0
26,Los Angeles Rams,390.0,5204.0,920.0,5.7,19.0,8.0,286.0,259.0,434.0,3545.0,25.0,11.0,7.9,162.0,469.0,1659.0,19.0,3.5,105.0,83.0,743.0,19.0,,,219.8,763.5,634.0,504.5,263.9,26.0,22.0,24.0,26.0,23.0,1247.2,26.0,1117.7,27.0,988.2,27.0
27,Cincinnati Bengals,435.0,5652.0,980.0,5.8,31.0,14.0,308.0,303.0,505.0,3990.0,26.0,17.0,7.6,191.0,454.0,1662.0,20.0,3.7,100.0,94.0,808.0,17.0,,,229.6,858.0,706.5,555.0,258.2,27.0,27.0,28.0,28.0,21.0,1345.8,28.0,1194.3,28.0,1042.8,28.0
