,Tm,PointsAllowed,TotalYardsAllowed,OffensivePlaysAllowed,YardsPerPlay,TO,ForcedFumbles,TotalFirstDownsAllowed,Cmp,PassingAttAllowed,PassingYardsAllowed,PassingTDAllowed,Int,NetYardsAllowedPerPass,PassingFirstDownsAllowed,RushingAttAllowed,RushingYdsAllowed,RushingTDAllowed,YardsPerRushAllowed,RushingFirstDownsAllowed,PenaltiesCommitted,PenaltyYardsAllowed,FirstDownsViaPenalty,PercentageOfDrivesEndingInOffensiveScores,PercentDrivesEndingInTO,PassingFantasyPointsAllowed,PPRReceivingFantasyPointsAllowed,HalfPPRReceivingFantasyPointsAllowed,StandardReceivingFantasyPointsAllowed,RushingFantasyPointsAllowed,PassingDefRank,PPRReceivingDefRank,HalfPPRReceivingDefRank,StandardReceivingDefRank,RushingDefRank,PPRFantasyPointsAllowed,PPRDefRank,HalfPPRFantasyPointsAllowed,HalfPPRDefRank,StandardFantasyPointsAllowed,StandardDefRank
0,Los Angeles Rams,196.0,3526.0,849.0,4.2,45.0,13.0,200.0,212.0,445.0,2407.0,14.0,32.0,4.9,104.0,361.0,1119.0,6.0,3.1,75.0,91.0,912.0,21.0,,,88.28,536.7,430.7,324.7,121.9,5.0,5.0,5.0,6.0,1.0,746.8800000000001,4.0,640.88,4.0,534.88,3.0
1,Baltimore Colts,198.0,3843.0,818.0,4.7,40.0,8.0,208.0,221.0,395.0,2432.0,13.0,32.0,5.6,116.0,387.0,1411.0,5.0,3.6,78.0,82.0,927.0,14.0,,,85.28,542.2,431.7,321.2,155.1,4.0,6.0,6.0,5.0,3.0,782.58,6.0,672.0799999999999,5.0,561.5799999999999,5.0
2,Green Bay Packers,209.0,3300.0,809.0,4.1,40.0,14.0,183.0,155.0,337.0,1377.0,13.0,26.0,3.8,78.0,443.0,1923.0,7.0,4.3,98.0,55.0,482.0,7.0,,,55.08,370.7,293.2,215.7,206.3,1.0,1.0,1.0,1.0,7.0,632.0799999999999,1.0,554.5799999999999,1.0,477.08,1.0
3,Chicago Bears,218.0,3406.0,833.0,4.1,44.0,16.0,215.0,164.0,384.0,1875.0,14.0,28.0,4.5,98.0,419.0,1531.0,11.0,3.7,91.0,82.0,782.0,26.0,,,75.0,435.5,353.5,271.5,187.1,3.0,4.0,4.0,3.0,5.0,697.6,2.0,615.6,2.0,533.6,2.0
4,Detroit Lions,259.0,3528.0,822.0,4.3,33.0,10.0,205.0,143.0,312.0,1733.0,11.0,23.0,4.9,85.0,471.0,1795.0,15.0,3.8,98.0,73.0,822.0,22.0,,,67.32,382.3,310.8,239.3,249.5,2.0,2.0,2.0,2.0,12.0,699.12,3.0,627.62,3.0,556.12,4.0
5,Dallas Cowboys,268.0,3871.0,866.0,4.5,48.0,19.0,236.0,260.0,482.0,2790.0,21.0,29.0,5.3,145.0,339.0,1081.0,11.0,3.2,64.0,64.0,717.0,27.0,,,137.6,665.0,535.0,405.0,136.1,7.0,13.0,12.0,11.0,2.0,938.7,8.0,808.7,7.0,678.7,7.0
6,Minnesota Vikings,294.0,3856.0,850.0,4.5,35.0,19.0,217.0,149.0,314.0,1752.0,17.0,16.0,5.0,90.0,500.0,2104.0,12.0,4.2,105.0,90.0,906.0,22.0,,,106.08,426.2,351.7,277.2,244.39999999999998,6.0,3.0,3.0,4.0,10.0,776.68,5.0,702.18,6.0,627.68,6.0
7,Cleveland Browns,297.0,4666.0,954.0,4.9,36.0,14.0,281.0,250.0,454.0,2899.0,19.0,22.0,5.9,153.0,459.0,1767.0,15.0,3.8,115.0,57.0,655.0,13.0,,,147.95999999999998,653.9,528.9,403.9,238.7,10.0,12.0,11.0,10.0,8.0,1040.56,12.0,915.56,11.0,790.56,10.0
8,Pittsburgh Steelers,320.0,3955.0,844.0,4.7,39.0,13.0,228.0,201.0,397.0,2578.0,22.0,26.0,6.1,128.0,418.0,1377.0,12.0,3.3,80.0,73.0,833.0,20.0,,,139.12,590.8,490.3,389.8,183.7,9.0,8.0,8.0,8.0,4.0,913.6199999999999,7.0,813.12,8.0,712.62,8.0
9,San Francisco 49ers,337.0,4044.0,858.0,4.7,29.0,13.0,237.0,212.0,403.0,2346.0,19.0,16.0,5.2,128.0,407.0,1698.0,17.0,4.2,92.0,64.0,596.0,17.0,,,137.84,560.6,454.6,348.6,245.8,8.0,7.0,7.0,7.0,11.0,944.24,9.0,838.24,9.0,732.24,9.0
10,Washington Redskins,353.0,5255.0,937.0,5.6,34.0,14.0,274.0,261.0,468.0,3403.0,25.0,20.0,6.7,153.0,431.0,1852.0,19.0,4.3,98.0,86.0,882.0,23.0,,,196.12,751.3,620.8,490.3,271.2,14.0,14.0,14.0,14.0,14.0,1218.62,15.0,1088.12,15.0,957.62,15.0
11,St. Louis Cardinals,356.0,4185.0,807.0,5.2,32.0,13.0,216.0,169.0,360.0,2683.0,26.0,19.0,6.8,117.0,410.0,1502.0,13.0,3.7,79.0,89.0,782.0,20.0,,,173.32,593.3,508.8,424.3,202.2,13.0,9.0,10.0,12.0,6.0,968.8199999999999,10.0,884.3199999999999,10.0,799.8199999999999,11.0
12,New Orleans Saints,379.0,4928.0,902.0,5.5,32.0,10.0,276.0,207.0,410.0,2836.0,25.0,22.0,6.5,138.0,469.0,2092.0,22.0,4.5,114.0,83.0,824.0,24.0,,,169.44,640.6,537.1,433.6,321.2,12.0,11.0,13.0,13.0,16.0,1131.24,13.0,1027.74,13.0,924.24,13.0
13,New York Giants,379.0,4284.0,836.0,5.1,32.0,15.0,261.0,195.0,389.0,2485.0,25.0,17.0,5.9,125.0,416.0,1799.0,20.0,4.3,113.0,68.0,774.0,23.0,,,165.4,593.5,496.0,398.5,269.9,11.0,10.0,9.0,9.0,13.0,1028.8,11.0,931.3,12.0,833.8,12.0
