,Tm,PointsAllowed,TotalYardsAllowed,OffensivePlaysAllowed,YardsPerPlay,TO,ForcedFumbles,TotalFirstDownsAllowed,Cmp,PassingAttAllowed,PassingYardsAllowed,PassingTDAllowed,Int,NetYardsAllowedPerPass,PassingFirstDownsAllowed,RushingAttAllowed,RushingYdsAllowed,RushingTDAllowed,YardsPerRushAllowed,RushingFirstDownsAllowed,PenaltiesCommitted,PenaltyYardsAllowed,FirstDownsViaPenalty,PercentageOfDrivesEndingInOffensiveScores,PercentDrivesEndingInTO,PassingFantasyPointsAllowed,PPRReceivingFantasyPointsAllowed,HalfPPRReceivingFantasyPointsAllowed,StandardReceivingFantasyPointsAllowed,RushingFantasyPointsAllowed,PassingDefRank,PPRReceivingDefRank,HalfPPRReceivingDefRank,StandardReceivingDefRank,RushingDefRank,PPRFantasyPointsAllowed,PPRDefRank,HalfPPRFantasyPointsAllowed,HalfPPRDefRank,StandardFantasyPointsAllowed,StandardDefRank
0,Kansas City Chiefs,241.0,4549.0,1047.0,4.3,33.0,17.0,289.0,329.0,596.0,3222.0,16.0,16.0,5.0,178.0,404.0,1327.0,7.0,3.3,83.0,108.0,828.0,28.0,,,160.88,747.2,582.7,418.2,140.7,5.5,10.0,6.0,4.0,2.0,1048.78,2.0,884.28,2.0,719.78,1.0
1,San Francisco 49ers,258.0,4398.0,999.0,4.4,34.0,8.0,264.0,330.0,611.0,3337.0,19.0,26.0,5.1,192.0,348.0,1061.0,5.0,3.0,57.0,74.0,556.0,15.0,,,157.48,777.7,612.7,447.7,120.1,3.0,12.0,12.0,11.0,1.0,1055.28,3.0,890.28,3.0,725.28,3.0
2,Dallas Cowboys,291.0,5044.0,1001.0,5.0,25.0,6.0,303.0,293.0,523.0,3272.0,17.0,19.0,5.9,165.0,442.0,1772.0,13.0,4.0,113.0,112.0,913.0,25.0,,,160.88,722.2,575.7,429.2,243.2,5.5,5.0,5.0,6.0,20.0,1126.28,8.0,979.78,9.0,833.28,10.0
3,Green Bay Packers,314.0,5155.0,1029.0,5.0,16.0,3.0,303.0,351.0,616.0,3640.0,25.0,13.0,5.6,188.0,374.0,1515.0,12.0,4.1,99.0,98.0,738.0,16.0,,,219.6,865.0,689.5,514.0,217.5,22.0,24.0,23.0,21.0,10.0,1302.1,22.0,1126.6,21.0,951.1,20.0
4,Indianapolis Colts,316.0,5027.0,1016.0,4.9,26.0,13.0,304.0,336.0,569.0,3570.0,23.0,13.0,6.0,182.0,418.0,1457.0,8.0,3.5,92.0,111.0,935.0,30.0,,,208.8,831.0,663.0,495.0,167.7,19.0,19.0,16.0,16.0,4.0,1207.5,13.0,1039.5,13.0,871.5,13.0
5,San Diego Chargers,323.0,5074.0,1020.0,5.0,27.0,10.0,313.0,321.0,543.0,3383.0,16.0,17.0,5.8,178.0,441.0,1691.0,15.0,3.8,112.0,117.0,951.0,23.0,,,165.32,755.3,594.8,434.3,239.10000000000002,9.0,11.0,9.0,8.0,19.0,1159.72,11.0,999.22,11.0,838.72,11.0
6,Houston Oilers,324.0,4651.0,983.0,4.7,38.0,17.0,267.0,289.0,553.0,3125.0,24.0,21.0,5.4,157.0,400.0,1526.0,11.0,3.8,85.0,118.0,962.0,25.0,,,179.0,745.5,601.0,456.5,184.6,13.0,8.0,11.0,13.0,8.0,1109.1,6.0,964.6,6.0,820.1,8.0
7,Carolina Panthers,325.0,5027.0,1072.0,4.7,37.0,16.0,288.0,310.0,586.0,3451.0,15.0,21.0,5.5,175.0,450.0,1576.0,17.0,3.5,99.0,112.0,808.0,14.0,,,156.04,745.1,590.1,435.1,227.60000000000002,2.0,7.0,8.0,9.0,14.0,1128.74,9.0,973.74,8.0,818.74,7.0
8,Pittsburgh Steelers,327.0,4561.0,943.0,4.8,34.0,12.0,272.0,314.0,531.0,3240.0,24.0,22.0,5.7,181.0,370.0,1321.0,9.0,3.6,67.0,101.0,931.0,24.0,,,181.6,782.0,625.0,468.0,162.1,14.0,13.0,14.0,14.0,3.0,1125.7,7.0,968.7,7.0,811.7,5.0
9,Oakland Raiders,332.0,5104.0,1016.0,5.0,33.0,22.0,293.0,301.0,527.0,3310.0,14.0,11.0,5.8,177.0,446.0,1794.0,15.0,4.0,90.0,94.0,730.0,26.0,,,166.4,716.0,565.5,415.0,225.39999999999998,10.0,3.0,3.0,3.0,12.0,1107.8,5.0,957.3,5.0,806.8,4.0
10,Miami Dolphins,332.0,5244.0,1000.0,5.2,30.0,16.0,309.0,327.0,556.0,3569.0,30.0,14.0,6.1,192.0,415.0,1675.0,7.0,4.0,93.0,82.0,739.0,24.0,,,234.76,863.9,700.4,536.9,177.5,26.0,23.0,25.0,24.0,7.0,1276.1599999999999,18.0,1112.6599999999999,18.0,949.16,19.0
11,Buffalo Bills,335.0,5128.0,1084.0,4.7,28.0,11.0,287.0,310.0,582.0,3502.0,14.0,17.0,5.5,180.0,453.0,1626.0,16.0,3.6,93.0,115.0,890.0,14.0,,,162.08,744.2,589.2,434.2,236.60000000000002,7.0,6.0,7.0,7.0,17.0,1142.88,10.0,987.8800000000001,10.0,832.8800000000001,9.0
12,Tampa Bay Buccaneers,335.0,5712.0,1031.0,5.5,30.0,16.0,336.0,346.0,557.0,3958.0,19.0,14.0,6.8,202.0,449.0,1754.0,14.0,3.9,104.0,87.0,698.0,30.0,,,206.32,855.8,682.8,509.8,227.39999999999998,17.0,22.0,22.0,18.0,13.0,1289.52,20.0,1116.52,19.0,943.52,18.0
13,Detroit Lions,336.0,5599.0,1031.0,5.4,35.0,13.0,350.0,354.0,580.0,3804.0,17.0,22.0,6.1,201.0,409.0,1795.0,15.0,4.4,110.0,120.0,1001.0,39.0,,,176.16,836.4,659.4,482.4,243.5,11.0,20.0,15.0,15.0,21.0,1256.06,17.0,1079.06,16.0,902.06,14.0
14,Philadelphia Eagles,338.0,4638.0,1013.0,4.6,38.0,19.0,281.0,268.0,499.0,2816.0,14.0,19.0,5.1,154.0,466.0,1822.0,14.0,3.9,102.0,87.0,727.0,25.0,,,130.64,633.6,499.6,365.6,228.2,1.0,1.0,1.0,1.0,15.0,992.44,1.0,858.44,1.0,724.44,2.0
15,New York Giants,340.0,5293.0,1037.0,5.1,31.0,15.0,335.0,299.0,508.0,3184.0,17.0,16.0,5.9,187.0,500.0,2109.0,17.0,4.2,120.0,94.0,662.0,28.0,,,163.36,719.4,569.9,420.4,282.9,8.0,4.0,4.0,5.0,29.0,1165.6599999999999,12.0,1016.16,12.0,866.66,12.0
16,Denver Broncos,345.0,5193.0,1010.0,5.1,21.0,13.0,322.0,297.0,529.0,3298.0,20.0,8.0,5.9,186.0,451.0,1895.0,19.0,4.2,114.0,103.0,848.0,22.0,,,195.92,746.8,598.3,449.8,277.5,15.0,9.0,10.0,12.0,27.0,1220.2199999999998,14.0,1071.7199999999998,14.0,923.22,16.0
17,New Orleans Saints,348.0,5561.0,1056.0,5.3,29.0,12.0,320.0,329.0,543.0,3723.0,23.0,17.0,6.3,195.0,469.0,1838.0,13.0,3.9,107.0,109.0,830.0,18.0,,,206.92,839.3,674.8,510.3,237.8,18.0,21.0,20.0,20.0,18.0,1284.02,19.0,1119.52,20.0,955.02,21.0
18,Atlanta Falcons,349.0,6088.0,1084.0,5.6,30.0,12.0,340.0,405.0,650.0,4541.0,28.0,18.0,6.7,230.0,404.0,1547.0,12.0,3.8,96.0,94.0,688.0,14.0,,,257.64,1027.1,824.6,622.1,202.7,30.0,30.0,30.0,30.0,9.0,1487.4399999999998,30.0,1284.94,30.0,1082.44,30.0
19,Cleveland Browns,356.0,5648.0,1082.0,5.2,24.0,7.0,342.0,360.0,573.0,3822.0,23.0,17.0,6.3,200.0,480.0,1826.0,15.0,3.8,112.0,108.0,736.0,30.0,,,210.88,880.2,700.2,520.2,258.6,20.0,25.0,24.0,23.0,24.0,1349.68,26.0,1169.68,24.0,989.6800000000001,25.0
20,Washington Redskins,359.0,5400.0,1059.0,5.1,35.0,19.0,323.0,338.0,546.0,3268.0,20.0,16.0,5.7,182.0,483.0,2132.0,18.0,4.4,127.0,100.0,780.0,14.0,,,178.72,784.8,615.8,446.8,283.2,12.0,14.0,13.0,10.0,30.0,1246.7199999999998,15.0,1077.7199999999998,15.0,908.72,15.0
21,Chicago Bears,360.0,5442.0,1035.0,5.3,29.0,13.0,316.0,374.0,595.0,4001.0,27.0,16.0,6.4,212.0,405.0,1441.0,9.0,3.6,81.0,104.0,821.0,23.0,,,236.04,936.1,749.1,562.1,172.1,27.0,27.0,27.0,26.0,6.0,1344.24,25.0,1157.24,23.0,970.24,22.0
22,Seattle Seahawks,366.0,5669.0,1078.0,5.3,25.0,9.0,321.0,310.0,554.0,3539.0,26.0,16.0,6.1,181.0,496.0,2130.0,11.0,4.3,116.0,114.0,901.0,24.0,,,213.56,819.9,664.9,509.9,261.0,21.0,16.0,17.0,19.0,25.0,1294.46,21.0,1139.46,22.0,984.46,23.0
23,Cincinnati Bengals,374.0,6349.0,1127.0,5.6,24.0,12.0,354.0,364.0,602.0,4245.0,25.0,12.0,6.6,215.0,483.0,2104.0,10.0,4.4,117.0,116.0,1143.0,22.0,,,245.8,938.5,756.5,574.5,246.39999999999998,29.0,28.0,28.0,28.0,22.0,1430.7,29.0,1248.7,29.0,1066.7,29.0
24,New England Patriots,377.0,5764.0,1034.0,5.6,29.0,14.0,308.0,342.0,549.0,3886.0,29.0,15.0,6.6,181.0,448.0,1878.0,12.0,4.2,106.0,104.0,816.0,21.0,,,241.44,904.6,733.6,562.6,231.8,28.0,26.0,26.0,27.0,16.0,1377.8400000000001,28.0,1206.8400000000001,28.0,1035.8400000000001,27.0
25,New York Jets,384.0,4756.0,1066.0,4.5,34.0,17.0,301.0,263.0,497.0,2740.0,21.0,17.0,5.1,149.0,526.0,2016.0,15.0,3.8,123.0,97.0,759.0,29.0,,,159.6,663.0,531.5,400.0,257.6,4.0,2.0,2.0,2.0,23.0,1080.2,4.0,948.7,4.0,817.2,6.0
26,Minnesota Vikings,385.0,5451.0,1016.0,5.4,40.0,15.0,312.0,369.0,620.0,4122.0,29.0,25.0,6.2,212.0,352.0,1329.0,11.0,3.8,75.0,100.0,707.0,25.0,,,230.88,955.2,770.7,586.2,168.9,24.0,29.0,29.0,29.0,5.0,1354.98,27.0,1170.48,25.0,985.98,24.0
27,Jacksonville Jaguars,404.0,5515.0,1030.0,5.4,24.0,11.0,320.0,304.0,509.0,3512.0,28.0,13.0,6.7,177.0,504.0,2003.0,17.0,4.0,121.0,102.0,958.0,22.0,,,226.48,823.2,671.2,519.2,280.3,23.0,17.0,19.0,22.0,28.0,1329.98,24.0,1177.98,27.0,1025.98,26.0
28,St. Louis Rams,418.0,5118.0,980.0,5.2,36.0,14.0,301.0,320.0,534.0,3441.0,27.0,22.0,6.0,178.0,410.0,1677.0,14.0,4.1,101.0,87.0,681.0,22.0,,,201.64,826.1,666.1,506.1,223.7,16.0,18.0,18.0,17.0,11.0,1251.44,16.0,1091.44,17.0,931.44,17.0
29,Arizona Cardinals,422.0,5704.0,995.0,5.7,42.0,23.0,310.0,264.0,461.0,3455.0,33.0,19.0,7.0,180.0,503.0,2249.0,14.0,4.5,105.0,117.0,860.0,25.0,,,232.2,807.5,675.5,543.5,262.9,25.0,15.0,21.0,25.0,26.0,1302.6,23.0,1170.6,26.0,1038.6,28.0
