,Tm,PointsAllowed,TotalYardsAllowed,OffensivePlaysAllowed,YardsPerPlay,TO,ForcedFumbles,TotalFirstDownsAllowed,Cmp,PassingAttAllowed,PassingYardsAllowed,PassingTDAllowed,Int,NetYardsAllowedPerPass,PassingFirstDownsAllowed,RushingAttAllowed,RushingYdsAllowed,RushingTDAllowed,YardsPerRushAllowed,RushingFirstDownsAllowed,PenaltiesCommitted,PenaltyYardsAllowed,FirstDownsViaPenalty,PercentageOfDrivesEndingInOffensiveScores,PercentDrivesEndingInTO,PassingFantasyPointsAllowed,PPRReceivingFantasyPointsAllowed,HalfPPRReceivingFantasyPointsAllowed,StandardReceivingFantasyPointsAllowed,RushingFantasyPointsAllowed,PassingDefRank,PPRReceivingDefRank,HalfPPRReceivingDefRank,StandardReceivingDefRank,RushingDefRank,PPRFantasyPointsAllowed,PPRDefRank,HalfPPRFantasyPointsAllowed,HalfPPRDefRank,StandardFantasyPointsAllowed,StandardDefRank
0,Miami Dolphins,171.0,3297.0,770.0,4.3,46.0,20.0,186.0,178.0,348.0,1749.0,10.0,26.0,4.6,96.0,389.0,1548.0,8.0,4.0,76.0,70.0,659.0,14.0,,,57.959999999999994,412.9,323.9,234.9,162.8,1.0,4.0,3.0,1.0,2.0,633.66,1.0,544.66,1.0,455.65999999999997,1.0
1,Pittsburgh Steelers,175.0,3771.0,896.0,4.2,48.0,20.0,228.0,206.0,411.0,2056.0,9.0,28.0,4.6,116.0,445.0,1715.0,6.0,3.9,88.0,77.0,712.0,24.0,,,62.239999999999995,465.6,362.6,259.6,167.5,2.0,11.0,8.0,8.0,3.0,695.34,3.0,592.34,2.0,489.34000000000003,2.0
2,Washington Redskins,218.0,3595.0,829.0,4.3,32.0,15.0,223.0,186.0,367.0,1862.0,10.0,17.0,4.6,108.0,427.0,1733.0,12.0,4.1,95.0,64.0,568.0,20.0,,,80.48,432.2,339.2,246.2,215.3,6.0,7.0,7.0,4.0,10.0,727.98,5.0,634.98,5.0,541.98,4.0
3,Green Bay Packers,226.0,3474.0,812.0,4.3,36.0,19.0,209.0,174.0,340.0,1957.0,7.0,17.0,5.3,109.0,443.0,1517.0,14.0,3.4,85.0,50.0,446.0,15.0,,,72.28,411.7,324.7,237.7,197.7,4.0,3.0,4.0,2.0,4.0,681.6800000000001,2.0,594.6800000000001,3.0,507.68,3.0
4,Cincinnati Bengals,229.0,3552.0,794.0,4.5,29.0,9.0,207.0,167.0,350.0,1737.0,11.0,20.0,4.5,92.0,406.0,1815.0,11.0,4.5,98.0,69.0,581.0,17.0,,,73.48,406.7,323.2,239.7,229.5,5.0,2.0,2.0,3.0,12.0,709.6800000000001,4.0,626.1800000000001,4.0,542.6800000000001,5.0
5,Dallas Cowboys,240.0,3755.0,842.0,4.5,33.0,17.0,217.0,187.0,382.0,2240.0,18.0,16.0,5.4,113.0,428.0,1515.0,7.0,3.5,81.0,59.0,586.0,23.0,,,129.6,519.0,425.5,332.0,159.5,19.0,18.0,18.0,18.0,1.0,808.1,11.0,714.6,10.0,621.1,9.0
6,New York Giants,247.0,4194.0,772.0,5.4,38.0,15.0,218.0,182.0,333.0,2339.0,19.0,23.0,6.3,111.0,402.0,1855.0,9.0,4.6,101.0,66.0,641.0,6.0,,,123.56,529.9,438.9,347.9,209.5,17.0,20.0,21.0,22.0,7.0,862.96,15.0,771.96,15.0,680.96,15.0
7,Oakland Raiders,248.0,3916.0,844.0,4.6,37.0,12.0,227.0,166.0,348.0,2152.0,14.0,25.0,5.7,104.0,469.0,1764.0,9.0,3.8,97.0,83.0,801.0,26.0,,,92.08,465.2,382.2,299.2,206.4,8.0,10.0,11.0,10.0,5.0,763.6800000000001,8.0,680.6800000000001,8.0,597.6800000000001,7.0
8,San Francisco 49ers,249.0,4026.0,858.0,4.7,36.0,17.0,221.0,169.0,366.0,2179.0,14.0,19.0,5.3,105.0,446.0,1847.0,12.0,4.1,96.0,81.0,677.0,20.0,,,105.16,470.9,386.4,301.9,222.7,10.0,12.0,12.0,11.0,11.0,798.76,10.0,714.26,9.0,629.76,10.0
9,Cleveland Browns,249.0,4069.0,868.0,4.7,29.0,16.0,240.0,160.0,310.0,1736.0,14.0,13.0,5.0,89.0,520.0,2333.0,13.0,4.5,130.0,63.0,557.0,21.0,,,99.44,417.6,337.6,257.6,279.3,9.0,6.0,6.0,7.0,22.0,796.34,9.0,716.34,11.0,636.34,12.0
