,Tm,PointsAllowed,TotalYardsAllowed,OffensivePlaysAllowed,YardsPerPlay,TO,ForcedFumbles,TotalFirstDownsAllowed,Cmp,PassingAttAllowed,PassingYardsAllowed,PassingTDAllowed,Int,NetYardsAllowedPerPass,PassingFirstDownsAllowed,RushingAttAllowed,RushingYdsAllowed,RushingTDAllowed,YardsPerRushAllowed,RushingFirstDownsAllowed,PenaltiesCommitted,PenaltyYardsAllowed,FirstDownsViaPenalty,PercentageOfDrivesEndingInOffensiveScores,PercentDrivesEndingInTO,EXP,PassingFantasyPointsAllowed,PPRReceivingFantasyPointsAllowed,HalfPPRReceivingFantasyPointsAllowed,StandardReceivingFantasyPointsAllowed,RushingFantasyPointsAllowed,PassingDefRank,PPRReceivingDefRank,HalfPPRReceivingDefRank,StandardReceivingDefRank,RushingDefRank,PPRFantasyPointsAllowed,PPRDefRank,HalfPPRFantasyPointsAllowed,HalfPPRDefRank,StandardFantasyPointsAllowed,StandardDefRank
0,Chicago Bears,203.0,4978.0,1023.0,4.9,37.0,17.0,277.0,355.0,602.0,3665.0,12.0,20.0,5.6,191.0,373.0,1313.0,6.0,3.5,71.0,97.0,808.0,15.0,18.7,18.7,243.25,154.6,793.5,616.0,438.5,133.3,10.0,22.5,20.0,16.0,2.0,1081.4,8.0,903.9,6.0,726.4,3.0
1,Philadelphia Eagles,208.0,4701.0,1017.0,4.6,33.0,19.0,262.0,288.0,517.0,2864.0,13.0,14.0,5.1,150.0,455.0,1837.0,6.0,4.0,88.0,85.0,741.0,24.0,21.1,14.1,274.03,138.56,652.4,508.4,364.4,181.7,3.0,1.0,1.0,1.0,7.0,972.66,1.0,828.66,1.0,684.66,1.0
2,Pittsburgh Steelers,212.0,4137.0,919.0,4.5,28.0,12.0,254.0,295.0,525.0,2942.0,19.0,16.0,5.1,160.0,339.0,1195.0,5.0,3.5,70.0,71.0,585.0,24.0,18.5,13.5,249.92,161.68,703.2,555.7,408.2,125.5,13.0,8.0,8.0,7.0,1.0,990.3800000000001,2.0,842.8800000000001,2.0,695.38,2.0
3,Baltimore Ravens,265.0,4446.0,1010.0,4.4,28.0,12.0,262.0,321.0,555.0,3035.0,16.0,16.0,5.1,161.0,410.0,1411.0,10.0,3.4,81.0,105.0,903.0,20.0,22.1,13.2,269.6,153.4,720.5,560.0,399.5,177.1,9.0,10.0,9.0,3.0,5.0,1051.0,6.0,890.5,5.0,730.0,5.0
4,Green Bay Packers,266.0,4937.0,1041.0,4.7,39.0,19.0,278.0,341.0,583.0,3168.0,14.0,20.0,5.0,176.0,406.0,1769.0,10.0,4.4,83.0,104.0,921.0,19.0,23.7,17.5,225.23,142.72,741.8,571.3,400.8,198.9,5.0,16.0,11.0,4.0,12.0,1083.42,9.0,912.92,7.0,742.4200000000001,6.0
5,New England Patriots,272.0,5352.0,1016.0,5.3,35.0,13.0,303.0,299.0,546.0,3497.0,15.0,22.0,6.0,171.0,429.0,1855.0,7.0,4.3,99.0,93.0,839.0,33.0,27.7,17.6,210.38,155.88,738.7,589.2,439.7,201.5,11.0,15.0,15.0,17.0,14.0,1096.08,11.0,946.58,12.0,797.0799999999999,12.0
6,St. Louis Rams,273.0,4471.0,952.0,4.7,34.0,13.0,256.0,314.0,541.0,3097.0,16.0,21.0,5.3,153.0,366.0,1374.0,11.0,3.8,77.0,100.0,830.0,26.0,25.5,18.1,317.81,145.88,719.7,562.7,405.7,177.4,6.0,9.0,10.0,6.0,6.0,1042.98,4.0,885.98,3.0,728.98,4.0
7,Tampa Bay Buccaneers,280.0,4653.0,950.0,4.9,39.0,11.0,262.0,273.0,493.0,2951.0,20.0,28.0,5.5,156.0,415.0,1702.0,8.0,4.1,86.0,91.0,742.0,20.0,27.9,18.9,219.3,142.04000000000002,688.1,551.6,415.1,196.2,4.0,4.0,6.0,11.0,10.0,1026.3400000000001,3.0,889.84,4.0,753.34,7.0
8,San Francisco 49ers,282.0,4954.0,988.0,5.0,34.0,10.0,289.0,332.0,567.0,3383.0,18.0,24.0,5.6,179.0,389.0,1571.0,9.0,4.0,89.0,95.0,812.0,21.0,28.4,18.8,132.38,159.32,778.3,612.3,446.3,191.1,12.0,20.0,19.0,18.0,9.0,1128.7199999999998,15.0,962.7199999999999,13.0,796.72,11.0
9,Jacksonville Jaguars,286.0,5070.0,1056.0,4.8,24.0,12.0,300.0,354.0,544.0,3459.0,13.0,12.0,5.9,193.0,469.0,1611.0,15.0,3.4,89.0,96.0,834.0,18.0,28.9,11.8,187.65,166.36,777.9,600.9,423.9,227.1,14.0,19.0,17.0,13.0,19.0,1171.3600000000001,19.0,994.36,17.0,817.36,15.0
