,Tm,PointsAllowed,TotalYardsAllowed,OffensivePlaysAllowed,YardsPerPlay,TO,ForcedFumbles,TotalFirstDownsAllowed,Cmp,PassingAttAllowed,PassingYardsAllowed,PassingTDAllowed,Int,NetYardsAllowedPerPass,PassingFirstDownsAllowed,RushingAttAllowed,RushingYdsAllowed,RushingTDAllowed,YardsPerRushAllowed,RushingFirstDownsAllowed,PenaltiesCommitted,PenaltyYardsAllowed,FirstDownsViaPenalty,PercentageOfDrivesEndingInOffensiveScores,PercentDrivesEndingInTO,EXP,PassingFantasyPointsAllowed,PPRReceivingFantasyPointsAllowed,HalfPPRReceivingFantasyPointsAllowed,StandardReceivingFantasyPointsAllowed,RushingFantasyPointsAllowed,PassingDefRank,PPRReceivingDefRank,HalfPPRReceivingDefRank,StandardReceivingDefRank,RushingDefRank,PPRFantasyPointsAllowed,PPRDefRank,HalfPPRFantasyPointsAllowed,HalfPPRDefRank,StandardFantasyPointsAllowed,StandardDefRank
0,Minnesota Vikings,252.0,4415.0,956.0,4.6,19.0,5.0,260.0,324.0,555.0,3078.0,13.0,14.0,5.2,168.0,364.0,1337.0,10.0,3.7,59.0,105.0,928.0,33.0,27.9,10.1,145.07,147.12,709.8,547.8,385.8,183.7,2.0,2.0,2.0,2.0,5.0,1040.62,2.0,878.6199999999999,2.0,716.62,1.0
1,Jacksonville Jaguars,268.0,4578.0,993.0,4.6,33.0,12.0,257.0,289.0,509.0,2718.0,17.0,21.0,4.8,143.0,429.0,1860.0,9.0,4.3,91.0,112.0,1050.0,23.0,23.9,15.6,252.15,134.72,662.8,518.3,373.8,216.0,1.0,1.0,1.0,1.0,11.0,1013.52,1.0,869.02,1.0,724.52,2.0
2,Los Angeles Chargers,272.0,5254.0,997.0,5.3,27.0,9.0,282.0,329.0,524.0,3156.0,17.0,18.0,5.6,153.0,430.0,2098.0,11.0,4.9,99.0,109.0,996.0,30.0,28.5,15.1,120.25,158.24,746.6,582.1,417.6,257.8,3.0,4.0,3.0,3.0,24.0,1162.64,4.0,998.1400000000001,3.0,833.6400000000001,3.0
3,Philadelphia Eagles,295.0,4904.0,976.0,5.0,31.0,12.0,272.0,363.0,601.0,3637.0,24.0,19.0,5.7,177.0,337.0,1267.0,7.0,3.8,62.0,101.0,917.0,33.0,27.1,15.4,162.09,203.48,870.7,689.2,507.7,144.7,14.0,20.0,17.0,16.0,1.0,1218.88,9.0,1037.38,7.0,855.8799999999999,6.0
4,New England Patriots,296.0,5856.0,1022.0,5.7,18.0,6.0,325.0,367.0,590.0,4020.0,24.0,12.0,6.4,204.0,390.0,1836.0,6.0,4.7,98.0,111.0,1035.0,23.0,30.2,9.9,12.09,232.8,913.0,729.5,546.0,207.6,24.0,29.0,29.0,27.0,10.0,1353.4,24.0,1169.9,22.0,986.4,21.0
5,Baltimore Ravens,303.0,5201.0,1045.0,5.0,34.0,12.0,296.0,333.0,569.0,3421.0,18.0,22.0,5.6,179.0,435.0,1780.0,12.0,4.1,87.0,96.0,807.0,30.0,29.7,17.4,181.55,164.84,783.1,616.6,450.1,226.0,4.0,6.0,6.0,7.0,14.0,1173.94,5.0,1007.44,4.0,840.94,4.0
6,Pittsburgh Steelers,308.0,4910.0,940.0,5.2,22.0,6.0,270.0,297.0,499.0,3217.0,20.0,16.0,5.8,157.0,385.0,1693.0,14.0,4.4,89.0,110.0,1041.0,24.0,30.3,12.4,31.72,176.68,738.7,590.2,441.7,241.3,6.0,3.0,4.0,4.0,17.5,1156.68,3.0,1008.1800000000001,5.0,859.6800000000001,7.0
7,Atlanta Falcons,315.0,5094.0,994.0,5.1,16.0,8.0,323.0,362.0,553.0,3429.0,22.0,8.0,5.8,197.0,402.0,1665.0,9.0,4.1,97.0,103.0,880.0,29.0,36.0,9.1,127.47,209.16,836.9,655.9,474.9,204.5,16.0,14.0,13.0,11.0,8.0,1250.56,12.0,1069.56,10.0,888.56,9.0
8,Chicago Bears,320.0,5106.0,1003.0,5.1,22.0,14.0,298.0,343.0,529.0,3376.0,18.0,8.0,5.9,180.0,432.0,1730.0,10.0,4.0,85.0,118.0,910.0,33.0,33.1,11.2,129.87,191.04,788.6,617.1,445.6,205.0,9.0,8.0,7.0,5.0,9.0,1184.6399999999999,6.0,1013.14,6.0,841.64,5.0
9,New Orleans Saints,326.0,5384.0,1002.0,5.4,25.0,5.0,308.0,329.0,554.0,3597.0,22.0,20.0,6.0,172.0,406.0,1787.0,11.0,4.4,92.0,108.0,850.0,44.0,33.3,13.6,64.3,191.88,820.7,656.2,491.7,234.7,10.0,12.0,14.0,13.0,16.0,1247.28,10.0,1082.78,13.0,918.28,13.0
