,Tm,PointsAllowed,TotalYardsAllowed,OffensivePlaysAllowed,YardsPerPlay,TO,ForcedFumbles,TotalFirstDownsAllowed,Cmp,PassingAttAllowed,PassingYardsAllowed,PassingTDAllowed,Int,NetYardsAllowedPerPass,PassingFirstDownsAllowed,RushingAttAllowed,RushingYdsAllowed,RushingTDAllowed,YardsPerRushAllowed,RushingFirstDownsAllowed,PenaltiesCommitted,PenaltyYardsAllowed,FirstDownsViaPenalty,PercentageOfDrivesEndingInOffensiveScores,PercentDrivesEndingInTO,PassingFantasyPointsAllowed,PPRReceivingFantasyPointsAllowed,HalfPPRReceivingFantasyPointsAllowed,StandardReceivingFantasyPointsAllowed,RushingFantasyPointsAllowed,PassingDefRank,PPRReceivingDefRank,HalfPPRReceivingDefRank,StandardReceivingDefRank,RushingDefRank,PPRFantasyPointsAllowed,PPRDefRank,HalfPPRFantasyPointsAllowed,HalfPPRDefRank,StandardFantasyPointsAllowed,StandardDefRank
0,Miami Dolphins,250.0,5039.0,989.0,5.1,43.0,17.0,288.0,277.0,480.0,3002.0,19.0,26.0,5.7,147.0,460.0,2037.0,11.0,4.4,122.0,95.0,837.0,19.0,,,144.07999999999998,691.2,552.7,414.2,235.7,5.0,6.0,6.0,6.0,9.0,1070.98,4.0,932.48,4.0,793.98,4.0
1,Detroit Lions,286.0,5216.0,1061.0,4.9,37.0,15.0,324.0,297.0,515.0,3112.0,21.0,22.0,5.6,161.0,503.0,2104.0,11.0,4.2,133.0,117.0,1062.0,30.0,,,164.48000000000002,734.2,585.7,437.2,246.39999999999998,10.0,15.0,15.0,12.0,12.0,1145.08,11.0,996.58,7.0,848.0799999999999,7.0
2,New England Patriots,289.0,5576.0,1102.0,5.1,36.0,19.0,326.0,277.0,514.0,3295.0,19.0,17.0,6.0,172.0,549.0,2281.0,9.0,4.2,129.0,84.0,674.0,25.0,,,173.8,720.5,582.0,443.5,244.10000000000002,16.0,13.0,14.0,15.0,11.0,1138.4,7.0,999.9000000000001,8.0,861.4000000000001,10.0
3,San Francisco 49ers,293.0,5189.0,1032.0,5.0,42.0,18.0,302.0,322.0,526.0,3253.0,23.0,24.0,5.6,181.0,449.0,1936.0,10.0,4.3,98.0,91.0,793.0,23.0,,,174.12,785.3,624.3,463.3,217.6,17.0,20.0,19.0,18.0,6.0,1177.02,16.0,1016.02,12.0,855.02,9.0
4,Chicago Bears,301.0,5132.0,1023.0,5.0,38.0,17.0,286.0,249.0,490.0,3132.0,15.0,21.0,5.8,154.0,482.0,2000.0,20.0,4.1,113.0,86.0,687.0,19.0,,,143.28,652.2,527.7,403.2,286.0,4.0,3.0,4.0,4.0,18.0,1081.48,5.0,956.98,6.0,832.48,6.0
5,Cincinnati Bengals,302.0,4327.0,973.0,4.4,39.0,16.0,276.0,288.0,502.0,2828.0,17.0,23.0,5.2,156.0,430.0,1499.0,16.0,3.5,96.0,100.0,871.0,24.0,,,135.12,672.8,528.8,384.8,213.9,1.0,5.0,5.0,1.0,5.0,1021.8199999999999,2.0,877.8199999999999,1.0,733.8199999999999,1.0
6,Pittsburgh Steelers,303.0,4732.0,1006.0,4.7,45.0,17.0,278.0,238.0,447.0,2899.0,19.0,28.0,5.8,151.0,509.0,1833.0,14.0,3.6,100.0,96.0,782.0,27.0,,,135.95999999999998,641.9,522.9,403.9,233.3,2.0,1.0,2.0,5.0,7.0,1011.16,1.0,892.16,2.0,773.16,3.0
7,Philadelphia Eagles,322.0,5447.0,1099.0,5.0,23.0,15.0,310.0,247.0,430.0,2792.0,20.0,8.0,6.0,149.0,633.0,2655.0,14.0,4.2,144.0,94.0,755.0,17.0,,,175.68,646.2,522.7,399.2,319.5,18.0,2.0,1.0,3.0,24.0,1141.38,9.0,1017.8800000000001,13.0,894.38,16.0
8,Denver Broncos,327.0,5609.0,1099.0,5.1,47.0,20.0,321.0,307.0,552.0,3671.0,18.0,27.0,6.2,185.0,509.0,1938.0,14.0,3.8,119.0,138.0,1097.0,17.0,,,164.84,782.1,628.6,475.1,237.8,11.0,19.0,20.5,20.0,10.0,1184.74,17.0,1031.24,17.0,877.74,12.0
9,New York Jets,331.0,5301.0,1058.0,5.0,36.0,14.0,298.0,269.0,463.0,2923.0,22.0,22.0,5.7,151.0,547.0,2378.0,13.0,4.3,126.0,96.0,784.0,21.0,,,160.92000000000002,693.3,558.8,424.3,287.8,9.0,9.0,7.0,8.0,20.0,1142.02,10.0,1007.52,10.0,873.02,11.0
10,Washington Redskins,332.0,5264.0,970.0,5.4,61.0,27.0,290.0,301.0,570.0,3975.0,28.0,34.0,6.4,196.0,349.0,1289.0,9.0,3.7,76.0,80.0,710.0,18.0,,,203.0,866.5,716.0,565.5,128.9,23.0,26.0,27.0,27.0,1.0,1198.4,18.0,1047.9,18.0,897.4,18.0
11,New Orleans Saints,337.0,4691.0,1024.0,4.6,39.0,16.0,289.0,271.0,496.0,2691.0,20.0,23.0,4.9,159.0,472.0,2000.0,11.0,4.2,108.0,96.0,814.0,22.0,,,141.64,660.1,524.6,389.1,234.0,3.0,4.0,3.0,2.0,8.0,1035.74,3.0,900.24,3.0,764.74,2.0
