,Tm,PointsAllowed,TotalYardsAllowed,OffensivePlaysAllowed,YardsPerPlay,TO,ForcedFumbles,TotalFirstDownsAllowed,Cmp,PassingAttAllowed,PassingYardsAllowed,PassingTDAllowed,Int,NetYardsAllowedPerPass,PassingFirstDownsAllowed,RushingAttAllowed,RushingYdsAllowed,RushingTDAllowed,YardsPerRushAllowed,RushingFirstDownsAllowed,PenaltiesCommitted,PenaltyYardsAllowed,FirstDownsViaPenalty,PercentageOfDrivesEndingInOffensiveScores,PercentDrivesEndingInTO,EXP,PassingFantasyPointsAllowed,PPRReceivingFantasyPointsAllowed,HalfPPRReceivingFantasyPointsAllowed,StandardReceivingFantasyPointsAllowed,RushingFantasyPointsAllowed,PassingDefRank,PPRReceivingDefRank,HalfPPRReceivingDefRank,StandardReceivingDefRank,RushingDefRank,PPRFantasyPointsAllowed,PPRDefRank,HalfPPRFantasyPointsAllowed,HalfPPRDefRank,StandardFantasyPointsAllowed,StandardDefRank
0,Seattle Seahawks,245.0,4899.0,968.0,5.1,31.0,13.0,295.0,327.0,564.0,3250.0,15.0,18.0,5.4,186.0,368.0,1649.0,8.0,4.5,80.0,102.0,902.0,29.0,27.2,16.0,133.75,154.0,742.0,578.5,415.0,186.9,1.0,4.0,4.0,2.0,8.0,1082.9,2.0,919.4,2.0,755.9,1.0
1,San Francisco 49ers,273.0,4710.0,1012.0,4.7,25.0,11.0,284.0,337.0,567.0,3203.0,19.0,14.0,5.3,178.0,407.0,1507.0,7.0,3.7,72.0,93.0,758.0,34.0,26.7,12.8,114.89,176.12,771.3,602.8,434.3,170.7,8.0,5.0,5.0,4.0,4.0,1118.12,3.0,949.6199999999999,3.0,781.12,4.0
2,Chicago Bears,277.0,5050.0,1021.0,4.9,44.0,20.0,286.0,350.0,592.0,3423.0,19.0,24.0,5.4,186.0,388.0,1627.0,6.0,4.2,75.0,78.0,704.0,25.0,25.1,20.5,206.62,164.92,806.3,631.3,456.3,158.7,3.0,11.5,9.0,9.0,2.0,1129.92,4.0,954.92,4.0,779.9200000000001,3.0
3,Denver Broncos,289.0,4652.0,1015.0,4.6,24.0,8.0,287.0,321.0,559.0,3194.0,25.0,16.0,5.2,183.0,404.0,1458.0,5.0,3.6,73.0,123.0,951.0,31.0,26.9,11.9,140.44,195.76,790.4,629.9,469.4,159.8,11.0,8.0,8.0,10.0,3.0,1145.96,6.0,985.46,5.0,824.96,5.0
4,Atlanta Falcons,299.0,5849.0,991.0,5.9,31.0,11.0,298.0,337.0,551.0,3878.0,14.0,20.0,6.7,189.0,411.0,1971.0,16.0,4.8,99.0,83.0,641.0,10.0,31.7,17.2,40.76,171.12,808.8,640.3,471.8,271.1,4.0,13.0,11.0,11.0,22.5,1251.02,11.0,1082.52,11.0,914.02,10.0
5,Pittsburgh Steelers,314.0,4413.0,951.0,4.6,20.0,10.0,273.0,299.0,523.0,2963.0,19.0,10.0,5.3,169.0,391.0,1450.0,9.0,3.7,78.0,100.0,882.0,26.0,30.8,10.4,62.83,174.51999999999998,709.3,559.8,410.3,179.0,7.0,2.0,2.0,1.0,5.0,1062.82,1.0,913.3199999999999,1.0,763.8199999999999,2.0
6,Miami Dolphins,317.0,5708.0,1073.0,5.3,16.0,6.0,320.0,353.0,600.0,3974.0,18.0,10.0,6.2,215.0,431.0,1734.0,10.0,4.0,79.0,121.0,1045.0,26.0,32.2,8.2,134.88,210.96,858.4,681.9,505.4,221.4,14.0,20.0,18.0,16.0,14.0,1290.76,15.0,1114.26,15.0,937.76,14.0
7,Cincinnati Bengals,320.0,5115.0,1034.0,4.9,30.0,16.0,307.0,346.0,560.0,3400.0,16.0,14.0,5.6,183.0,423.0,1715.0,13.0,4.1,99.0,90.0,779.0,25.0,29.3,14.1,192.22,172.0,782.0,609.0,436.0,217.5,5.0,6.0,6.0,5.0,12.0,1171.5,8.0,998.5,6.0,825.5,6.0
8,Houston Texans,331.0,5172.0,1015.0,5.1,29.0,14.0,292.0,308.0,581.0,3612.0,29.0,15.0,5.8,167.0,390.0,1560.0,5.0,4.0,94.0,90.0,863.0,31.0,28.0,14.5,124.55,230.48,843.2,689.2,535.2,158.0,21.0,17.0,21.0,21.0,1.0,1231.68,9.0,1077.68,10.0,923.6800000000001,13.0
9,New England Patriots,331.0,5972.0,1046.0,5.7,41.0,21.0,340.0,369.0,594.0,4342.0,27.0,20.0,6.9,207.0,415.0,1630.0,10.0,3.9,100.0,101.0,932.0,33.0,30.1,20.4,83.26,241.68,965.2,780.7,596.2,181.0,25.0,29.0,29.0,29.0,6.0,1387.88,25.0,1203.38,22.0,1018.8800000000001,20.0
