,Tm,PointsAllowed,TotalYardsAllowed,OffensivePlaysAllowed,YardsPerPlay,TO,ForcedFumbles,TotalFirstDownsAllowed,Cmp,PassingAttAllowed,PassingYardsAllowed,PassingTDAllowed,Int,NetYardsAllowedPerPass,PassingFirstDownsAllowed,RushingAttAllowed,RushingYdsAllowed,RushingTDAllowed,YardsPerRushAllowed,RushingFirstDownsAllowed,PenaltiesCommitted,PenaltyYardsAllowed,FirstDownsViaPenalty,PercentageOfDrivesEndingInOffensiveScores,PercentDrivesEndingInTO,PassingFantasyPointsAllowed,PPRReceivingFantasyPointsAllowed,HalfPPRReceivingFantasyPointsAllowed,StandardReceivingFantasyPointsAllowed,RushingFantasyPointsAllowed,PassingDefRank,PPRReceivingDefRank,HalfPPRReceivingDefRank,StandardReceivingDefRank,RushingDefRank,PPRFantasyPointsAllowed,PPRDefRank,HalfPPRFantasyPointsAllowed,HalfPPRDefRank,StandardFantasyPointsAllowed,StandardDefRank
0,Minnesota Vikings,133.0,2720.0,796.0,3.4,42.0,12.0,158.0,213.0,410.0,1631.0,8.0,30.0,3.6,88.0,337.0,1089.0,4.0,3.2,55.0,69.0,795.0,15.0,,,37.239999999999995,424.1,317.6,211.1,108.9,1.0,1.0,1.0,1.0,2.0,570.24,1.0,463.74,1.0,357.24,1.0
1,Detroit Lions,188.0,3084.0,768.0,4.0,42.0,21.0,182.0,167.0,350.0,1861.0,15.0,21.0,4.7,101.0,372.0,1223.0,7.0,3.3,64.0,90.0,857.0,17.0,,,92.44,443.1,359.6,276.1,122.30000000000001,3.0,3.0,3.0,3.0,3.0,657.84,2.0,574.34,2.0,490.84000000000003,2.0
2,Green Bay Packers,221.0,3827.0,881.0,4.3,26.0,7.0,224.0,177.0,360.0,1845.0,13.0,19.0,4.7,107.0,485.0,1982.0,7.0,4.1,103.0,65.0,733.0,14.0,,,87.8,439.5,351.0,262.5,226.2,2.0,2.0,2.0,2.0,7.0,753.5,3.0,665.0,3.0,576.5,3.0
3,Dallas Cowboys,223.0,3707.0,826.0,4.5,35.0,11.0,203.0,235.0,458.0,2657.0,23.0,24.0,5.2,141.0,313.0,1050.0,3.0,3.4,52.0,58.0,680.0,10.0,,,150.28,638.7,521.2,403.7,101.0,11.0,11.0,11.0,11.0,1.0,889.98,7.0,772.48,6.0,654.98,6.0
4,Los Angeles Rams,243.0,4001.0,895.0,4.5,38.0,12.0,242.0,202.0,430.0,2526.0,18.0,26.0,5.3,125.0,415.0,1475.0,8.0,3.6,84.0,88.0,709.0,33.0,,,121.04,562.6,461.6,360.6,171.5,7.0,9.0,9.0,9.0,5.0,855.1400000000001,4.0,754.1400000000001,4.0,653.1400000000001,5.0
5,Atlanta Falcons,268.0,4317.0,888.0,4.9,46.0,27.0,254.0,225.0,383.0,2285.0,13.0,19.0,5.5,120.0,475.0,2032.0,14.0,4.3,120.0,73.0,762.0,14.0,,,105.4,531.5,419.0,306.5,233.2,5.0,7.0,7.0,5.0,9.0,870.1,5.0,757.6,5.0,645.1,4.0
6,Baltimore Colts,268.0,4649.0,891.0,5.2,25.0,10.0,256.0,271.0,459.0,3249.0,20.0,15.0,6.6,164.0,399.0,1400.0,8.0,3.5,70.0,74.0,848.0,22.0,,,179.96,715.9,580.4,444.9,168.0,13.0,15.0,14.0,13.5,4.0,1063.8600000000001,13.0,928.36,12.0,792.86,12.0
7,New York Giants,298.0,4208.0,838.0,5.0,33.0,14.0,243.0,171.0,340.0,2155.0,18.0,19.0,5.8,103.0,466.0,2053.0,14.0,4.4,120.0,62.0,601.0,20.0,,,120.2,494.5,409.0,323.5,261.3,6.0,6.0,5.0,6.0,13.0,876.0,6.0,790.5,7.0,705.0,7.0
8,Cleveland Browns,300.0,4454.0,841.0,5.3,41.0,22.0,257.0,202.0,387.0,2464.0,19.0,19.0,5.8,121.0,417.0,1990.0,18.0,4.8,120.0,72.0,746.0,16.0,,,136.56,562.4,461.4,360.4,263.0,8.0,8.0,8.0,8.0,14.0,961.96,10.0,860.96,11.0,759.96,11.0
9,San Francisco 49ers,319.0,4175.0,854.0,4.9,31.0,11.0,242.0,205.0,402.0,2471.0,22.0,20.0,5.7,128.0,422.0,1704.0,14.0,4.0,91.0,70.0,671.0,23.0,,,146.84,584.1,481.6,379.1,232.4,10.0,10.0,10.0,10.0,8.0,963.34,11.0,860.84,10.0,758.34,10.0
