,Tm,PointsAllowed,TotalYardsAllowed,OffensivePlaysAllowed,YardsPerPlay,TO,ForcedFumbles,TotalFirstDownsAllowed,Cmp,PassingAttAllowed,PassingYardsAllowed,PassingTDAllowed,Int,NetYardsAllowedPerPass,PassingFirstDownsAllowed,RushingAttAllowed,RushingYdsAllowed,RushingTDAllowed,YardsPerRushAllowed,RushingFirstDownsAllowed,PenaltiesCommitted,PenaltyYardsAllowed,FirstDownsViaPenalty,PercentageOfDrivesEndingInOffensiveScores,PercentDrivesEndingInTO,PassingFantasyPointsAllowed,PPRReceivingFantasyPointsAllowed,HalfPPRReceivingFantasyPointsAllowed,StandardReceivingFantasyPointsAllowed,RushingFantasyPointsAllowed,PassingDefRank,PPRReceivingDefRank,HalfPPRReceivingDefRank,StandardReceivingDefRank,RushingDefRank,PPRFantasyPointsAllowed,PPRDefRank,HalfPPRFantasyPointsAllowed,HalfPPRDefRank,StandardFantasyPointsAllowed,StandardDefRank
0,Chicago Bears,187.0,4130.0,1002.0,4.1,47.0,16.0,241.0,243.0,513.0,2667.0,12.0,31.0,4.6,151.0,427.0,1463.0,4.0,3.4,67.0,111.0,866.0,23.0,,,92.68,581.7,460.2,338.7,138.3,1.0,1.0,1.0,1.0,1.0,812.6800000000001,1.0,691.1800000000001,1.0,569.6800000000001,1.0
1,New York Giants,236.0,4757.0,996.0,4.8,43.0,19.0,284.0,334.0,587.0,3473.0,15.0,24.0,5.4,177.0,350.0,1284.0,10.0,3.7,78.0,119.0,988.0,29.0,,,150.92,771.3,604.3,437.3,150.4,8.0,18.0,16.0,11.0,2.0,1072.62,6.0,905.6199999999999,3.0,738.62,2.0
2,San Francisco 49ers,247.0,4880.0,1061.0,4.6,49.0,10.0,285.0,324.0,604.0,3325.0,18.0,39.0,5.1,169.0,406.0,1555.0,8.0,3.8,97.0,89.0,653.0,19.0,,,127.0,764.5,602.5,440.5,183.5,3.0,17.0,15.0,12.0,3.0,1075.0,8.0,913.0,6.0,751.0,3.0
3,Los Angeles Rams,267.0,4871.0,1038.0,4.7,43.0,15.0,272.0,313.0,539.0,3190.0,17.0,28.0,5.5,169.0,460.0,1681.0,9.0,3.7,93.0,92.0,804.0,10.0,,,139.6,734.0,577.5,421.0,192.1,5.0,12.0,11.0,9.0,5.0,1065.7,5.0,909.2,5.0,752.7,4.0
4,Minnesota Vikings,273.0,5012.0,1013.0,4.9,42.0,18.0,286.0,276.0,494.0,3216.0,16.0,24.0,6.0,155.0,481.0,1796.0,10.0,3.7,106.0,99.0,806.0,25.0,,,144.64,693.6,555.6,417.6,203.6,6.0,8.0,7.0,8.0,7.0,1041.8400000000001,3.0,903.84,2.0,765.84,5.0
5,Atlanta Falcons,280.0,4908.0,964.0,5.1,36.0,14.0,268.0,241.0,453.0,2992.0,19.0,22.0,6.2,139.0,485.0,1916.0,10.0,4.0,111.0,106.0,834.0,18.0,,,151.68,654.2,533.7,413.2,223.6,9.0,6.0,6.0,6.0,13.0,1029.48,2.0,908.98,4.0,788.48,7.0
6,New Orleans Saints,287.0,5102.0,1109.0,4.6,43.0,17.0,331.0,331.0,576.0,3543.0,21.0,26.0,5.7,197.0,486.0,1559.0,11.0,3.2,104.0,104.0,791.0,30.0,,,173.72,811.3,645.8,480.3,187.9,15.0,24.0,23.0,22.0,4.0,1172.92,17.0,1007.42,16.0,841.9200000000001,10.0
7,Seattle Seahawks,293.0,5341.0,1053.0,5.1,36.0,14.0,310.0,301.0,535.0,3582.0,20.0,22.0,6.2,192.0,471.0,1759.0,12.0,3.7,93.0,81.0,652.0,25.0,,,179.28,779.2,628.7,478.2,219.9,16.0,21.0,21.0,21.0,11.0,1178.38,18.0,1027.88,18.0,877.38,18.0
8,Washington Redskins,296.0,5297.0,1046.0,5.1,28.0,9.0,316.0,302.0,532.0,3492.0,21.0,19.0,5.9,181.0,459.0,1805.0,14.0,3.9,103.0,115.0,1026.0,32.0,,,185.68,777.2,626.2,475.2,246.5,20.0,19.0,20.0,19.0,16.0,1209.38,21.0,1058.38,21.0,907.38,21.0
9,New England Patriots,307.0,5181.0,1031.0,5.0,40.0,19.0,286.0,255.0,473.0,2978.0,15.0,21.0,5.7,153.0,510.0,2203.0,19.0,4.3,118.0,106.0,866.0,15.0,,,137.12,642.8,515.3,387.8,296.3,4.0,4.0,4.0,3.0,24.0,1076.22,9.0,948.72,8.0,821.22,9.0
10,Cleveland Browns,310.0,5269.0,1047.0,5.0,37.0,19.0,302.0,291.0,518.0,3288.0,21.0,18.0,5.9,171.0,494.0,1981.0,12.0,4.0,113.0,101.0,754.0,18.0,,,179.52,745.8,600.3,454.8,232.10000000000002,17.0,14.0,14.0,16.0,14.0,1157.42,16.0,1011.92,17.0,866.4200000000001,15.0
