,Tm,PointsAllowed,TotalYardsAllowed,OffensivePlaysAllowed,YardsPerPlay,TO,ForcedFumbles,TotalFirstDownsAllowed,Cmp,PassingAttAllowed,PassingYardsAllowed,PassingTDAllowed,Int,NetYardsAllowedPerPass,PassingFirstDownsAllowed,RushingAttAllowed,RushingYdsAllowed,RushingTDAllowed,YardsPerRushAllowed,RushingFirstDownsAllowed,PenaltiesCommitted,PenaltyYardsAllowed,FirstDownsViaPenalty,PercentageOfDrivesEndingInOffensiveScores,PercentDrivesEndingInTO,PassingFantasyPointsAllowed,PPRReceivingFantasyPointsAllowed,HalfPPRReceivingFantasyPointsAllowed,StandardReceivingFantasyPointsAllowed,RushingFantasyPointsAllowed,PassingDefRank,PPRReceivingDefRank,HalfPPRReceivingDefRank,StandardReceivingDefRank,RushingDefRank,PPRFantasyPointsAllowed,PPRDefRank,HalfPPRFantasyPointsAllowed,HalfPPRDefRank,StandardFantasyPointsAllowed,StandardDefRank
0,Green Bay Packers,163.0,3603.0,883.0,4.1,42.0,14.0,211.0,202.0,390.0,1959.0,7.0,28.0,4.5,106.0,446.0,1644.0,9.0,3.7,90.0,67.0,745.0,15.0,,,50.36,439.9,338.9,237.9,190.4,1.0,1.0,1.0,1.0,5.0,680.66,1.0,579.66,1.0,478.65999999999997,1.0
1,Los Angeles Rams,212.0,3771.0,852.0,4.4,46.0,20.0,196.0,190.0,406.0,2469.0,13.0,26.0,5.5,114.0,401.0,1302.0,10.0,3.2,64.0,76.0,704.0,18.0,,,98.76,514.9,419.9,324.9,150.2,3.0,3.0,5.0,7.0,2.0,763.8599999999999,2.0,668.8599999999999,2.0,573.8599999999999,2.0
2,Baltimore Colts,226.0,4091.0,932.0,4.4,40.0,18.0,245.0,240.0,425.0,2358.0,14.0,22.0,5.0,134.0,460.0,1733.0,7.0,3.8,94.0,69.0,704.0,17.0,,,106.32,559.8,439.8,319.8,179.3,4.0,8.0,7.0,4.0,4.0,845.42,6.0,725.4200000000001,6.0,605.4200000000001,5.0
3,Dallas Cowboys,239.0,3558.0,873.0,4.1,31.0,14.0,221.0,212.0,457.0,2382.0,17.0,17.0,4.6,140.0,356.0,1176.0,6.0,3.3,64.0,63.0,778.0,17.0,,,129.28,552.2,446.2,340.2,125.6,9.0,7.0,8.0,8.0,1.0,807.08,4.0,701.0799999999999,4.0,595.0799999999999,3.0
4,Cleveland Browns,259.0,4266.0,891.0,4.8,49.0,19.0,255.0,221.0,406.0,2372.0,14.0,30.0,5.4,124.0,450.0,1894.0,12.0,4.2,113.0,61.0,563.0,18.0,,,90.88,542.2,431.7,321.2,223.39999999999998,2.0,6.0,6.0,6.0,9.0,856.48,7.0,745.98,7.0,635.48,7.0
5,St. Louis Cardinals,265.0,3492.0,872.0,4.0,31.0,10.0,209.0,197.0,443.0,2300.0,15.0,21.0,4.6,109.0,377.0,1192.0,11.0,3.2,68.0,83.0,761.0,32.0,,,110.0,517.0,418.5,320.0,165.2,5.0,5.0,4.0,5.0,3.0,792.2,3.0,693.7,3.0,595.2,4.0
6,Chicago Bears,272.0,3971.0,901.0,4.4,38.0,23.0,239.0,202.0,406.0,2367.0,13.0,15.0,5.4,116.0,466.0,1604.0,13.0,3.4,102.0,71.0,636.0,21.0,,,116.68,516.7,415.7,314.7,192.4,7.0,4.0,3.0,3.0,6.0,825.7800000000001,5.0,724.78,5.0,623.78,6.0
7,Minnesota Vikings,304.0,3922.0,828.0,4.7,22.0,8.0,213.0,206.0,391.0,2236.0,13.0,14.0,5.4,116.0,412.0,1686.0,15.0,4.1,85.0,67.0,667.0,12.0,,,113.44,507.6,404.6,301.6,242.60000000000002,6.0,2.0,2.0,2.0,11.0,863.6400000000001,8.0,760.6400000000001,8.0,657.6400000000001,8.0
8,Detroit Lions,317.0,4414.0,876.0,5.0,35.0,11.0,240.0,210.0,363.0,2408.0,19.0,24.0,6.1,108.0,479.0,2006.0,16.0,4.2,109.0,61.0,564.0,23.0,,,124.32,564.8,459.8,354.8,274.6,8.0,9.0,9.0,9.0,13.0,963.72,9.0,858.72,9.0,753.72,9.0
9,San Francisco 49ers,325.0,4179.0,868.0,4.8,29.0,11.0,238.0,206.0,414.0,2550.0,22.0,18.0,5.6,126.0,414.0,1629.0,15.0,3.9,88.0,91.0,938.0,24.0,,,154.0,593.0,490.0,387.0,230.9,11.0,10.0,10.0,10.0,10.0,977.9,11.0,874.9,10.0,771.9,10.0
