,Tm,PointsAllowed,TotalYardsAllowed,OffensivePlaysAllowed,YardsPerPlay,TO,ForcedFumbles,TotalFirstDownsAllowed,Cmp,PassingAttAllowed,PassingYardsAllowed,PassingTDAllowed,Int,NetYardsAllowedPerPass,PassingFirstDownsAllowed,RushingAttAllowed,RushingYdsAllowed,RushingTDAllowed,YardsPerRushAllowed,RushingFirstDownsAllowed,PenaltiesCommitted,PenaltyYardsAllowed,FirstDownsViaPenalty,PercentageOfDrivesEndingInOffensiveScores,PercentDrivesEndingInTO,EXP,PassingFantasyPointsAllowed,PPRReceivingFantasyPointsAllowed,HalfPPRReceivingFantasyPointsAllowed,StandardReceivingFantasyPointsAllowed,RushingFantasyPointsAllowed,PassingDefRank,PPRReceivingDefRank,HalfPPRReceivingDefRank,StandardReceivingDefRank,RushingDefRank,PPRFantasyPointsAllowed,PPRDefRank,HalfPPRFantasyPointsAllowed,HalfPPRDefRank,StandardFantasyPointsAllowed,StandardDefRank
0,Chicago Bears,202.0,4509.0,1034.0,4.4,34.0,10.0,259.0,313.0,550.0,2872.0,10.0,24.0,4.9,153.0,443.0,1637.0,9.0,3.7,83.0,118.0,1016.0,23.0,19.7,15.3,273.42,106.88,660.2,503.7,347.2,197.7,1.0,4.0,1.0,1.0,10.0,964.78,1.0,808.28,1.0,651.78,1.0
1,Indianapolis Colts,247.0,4913.0,953.0,5.2,31.0,13.0,269.0,343.0,509.0,3151.0,17.0,18.0,5.7,163.0,398.0,1762.0,9.0,4.4,91.0,119.0,857.0,15.0,26.9,18.0,173.28,158.04000000000002,760.1,588.6,417.1,204.2,7.0,18.0,17.0,13.0,12.0,1122.3400000000001,13.0,950.84,10.0,779.34,7.0
2,Pittsburgh Steelers,258.0,4544.0,998.0,4.6,30.0,15.0,275.0,315.0,549.0,3168.0,15.0,15.0,5.3,179.0,402.0,1376.0,10.0,3.4,75.0,120.0,1031.0,21.0,27.1,14.9,268.34,156.72,721.8,564.3,406.8,167.6,6.0,14.0,12.0,10.0,4.0,1046.12,5.0,888.6199999999999,4.0,731.12,4.0
3,Denver Broncos,258.0,5006.0,985.0,5.1,36.0,16.0,295.0,344.0,613.0,3643.0,20.0,20.0,5.7,183.0,344.0,1363.0,10.0,4.0,82.0,139.0,989.0,30.0,25.0,18.2,173.51,185.72,828.3,656.3,484.3,164.3,21.0,30.0,28.0,26.0,3.0,1178.32,17.0,1006.3199999999999,17.0,834.3199999999999,14.0
4,Carolina Panthers,259.0,4522.0,981.0,4.6,42.0,19.0,262.0,305.0,528.0,3057.0,15.0,23.0,5.3,160.0,408.0,1465.0,9.0,3.6,72.0,128.0,1045.0,30.0,25.1,19.8,248.44,136.28,700.7,548.2,395.7,162.5,3.0,10.0,8.0,4.0,2.0,999.48,3.0,846.98,2.0,694.48,2.0
5,Jacksonville Jaguars,269.0,4655.0,963.0,4.8,28.0,9.0,273.0,285.0,482.0,2946.0,22.0,19.0,5.6,158.0,434.0,1709.0,4.0,3.9,79.0,130.0,1055.0,36.0,24.9,14.1,173.25,167.84,711.6,569.1,426.6,176.9,14.0,11.0,13.0,16.0,5.0,1056.3400000000001,6.0,913.84,6.0,771.34,6.0
6,Seattle Seahawks,271.0,5069.0,1041.0,4.9,27.0,11.0,295.0,331.0,571.0,3559.0,18.0,16.0,5.7,194.0,420.0,1510.0,5.0,3.6,78.0,123.0,909.0,23.0,30.5,12.8,195.29,182.36,794.9,629.4,463.9,159.0,20.0,22.0,20.0,19.0,1.0,1136.26,14.0,970.76,11.0,805.26,9.0
7,Tampa Bay Buccaneers,274.0,4444.0,950.0,4.7,30.0,13.0,254.0,275.0,476.0,2929.0,15.0,17.0,5.7,148.0,438.0,1515.0,10.0,3.5,75.0,108.0,830.0,31.0,27.7,15.2,236.97,143.16,657.9,520.4,382.9,185.5,4.0,3.0,3.0,3.0,7.0,986.56,2.0,849.06,3.0,711.56,3.0
8,Washington Redskins,293.0,4767.0,981.0,4.9,28.0,12.0,258.0,291.0,535.0,3081.0,15.0,16.0,5.4,158.0,411.0,1686.0,15.0,4.1,74.0,105.0,879.0,26.0,26.5,13.8,194.98,151.24,689.1,543.6,398.1,234.60000000000002,5.0,8.0,7.0,5.0,16.0,1074.94,8.0,929.44,7.0,783.94,8.0
9,Baltimore Ravens,299.0,4549.0,998.0,4.6,26.0,15.0,277.0,296.0,525.0,2958.0,18.0,11.0,5.2,161.0,431.0,1591.0,8.0,3.7,79.0,110.0,844.0,37.0,28.9,12.6,230.32,168.32,699.8,551.8,403.8,177.1,15.0,9.0,9.5,8.0,6.0,1045.2199999999998,4.0,897.2199999999999,5.0,749.22,5.0
