,Tm,PointsAllowed,TotalYardsAllowed,OffensivePlaysAllowed,YardsPerPlay,TO,ForcedFumbles,TotalFirstDownsAllowed,Cmp,PassingAttAllowed,PassingYardsAllowed,PassingTDAllowed,Int,NetYardsAllowedPerPass,PassingFirstDownsAllowed,RushingAttAllowed,RushingYdsAllowed,RushingTDAllowed,YardsPerRushAllowed,RushingFirstDownsAllowed,PenaltiesCommitted,PenaltyYardsAllowed,FirstDownsViaPenalty,PercentageOfDrivesEndingInOffensiveScores,PercentDrivesEndingInTO,PassingFantasyPointsAllowed,PPRReceivingFantasyPointsAllowed,HalfPPRReceivingFantasyPointsAllowed,StandardReceivingFantasyPointsAllowed,RushingFantasyPointsAllowed,PassingDefRank,PPRReceivingDefRank,HalfPPRReceivingDefRank,StandardReceivingDefRank,RushingDefRank,PPRFantasyPointsAllowed,PPRDefRank,HalfPPRFantasyPointsAllowed,HalfPPRDefRank,StandardFantasyPointsAllowed,StandardDefRank
0,Los Angeles Rams,181.0,3404.0,806.0,4.2,25.0,3.0,186.0,194.0,381.0,2102.0,16.0,22.0,4.9,109.0,381.0,1302.0,4.0,3.4,66.0,82.0,772.0,11.0,,,104.08,500.2,403.2,306.2,148.2,11.0,16.0,16.0,17.0,1.0,752.48,5.0,655.48,5.0,558.48,4.0
1,Pittsburgh Steelers,189.0,3074.0,863.0,3.6,47.0,22.0,200.0,147.0,339.0,1466.0,14.0,25.0,3.7,83.0,472.0,1608.0,7.0,3.4,87.0,76.0,575.0,30.0,,,64.64,377.6,304.1,230.6,158.8,1.0,3.0,3.0,2.0,4.0,601.04,1.0,527.54,1.0,454.03999999999996,1.0
2,Minnesota Vikings,195.0,3907.0,864.0,4.5,33.0,11.0,230.0,214.0,396.0,2302.0,8.0,22.0,5.4,120.0,437.0,1605.0,12.0,3.7,100.0,70.0,660.0,10.0,,,80.08,492.2,385.2,278.2,210.5,6.0,13.0,11.0,8.0,8.0,782.78,7.0,675.78,6.0,568.78,5.0
3,Washington Redskins,196.0,3285.0,844.0,3.9,40.0,15.0,210.0,197.0,399.0,1846.0,13.0,25.0,4.3,114.0,414.0,1439.0,7.0,3.5,79.0,69.0,529.0,17.0,,,75.84,459.6,361.1,262.6,155.9,4.0,9.0,6.0,6.0,2.0,691.34,2.0,592.84,2.0,494.34000000000003,2.0
4,Green Bay Packers,206.0,3641.0,876.0,4.2,35.0,12.0,218.0,188.0,383.0,2000.0,10.0,23.0,4.9,106.0,465.0,1641.0,10.0,3.5,93.0,88.0,715.0,19.0,,,74.0,448.0,354.0,260.0,200.1,3.0,5.0,5.0,5.0,6.0,722.1,4.0,628.1,3.0,534.1,3.0
5,Miami Dolphins,216.0,3806.0,807.0,4.7,33.0,17.0,208.0,200.0,372.0,2182.0,14.0,16.0,5.4,117.0,404.0,1624.0,7.0,4.0,83.0,67.0,525.0,8.0,,,111.28,502.2,402.2,302.2,170.4,16.0,17.0,12.0,14.0,5.0,783.88,8.0,683.88,7.0,583.88,7.0
6,Philadelphia Eagles,217.0,4270.0,922.0,4.6,34.0,16.0,248.0,230.0,434.0,2473.0,9.0,18.0,5.4,129.0,460.0,1797.0,14.0,3.9,105.0,86.0,722.0,14.0,,,98.92,531.3,416.3,301.3,231.7,10.0,19.0,19.0,12.0,10.0,861.92,15.0,746.9200000000001,15.0,631.9200000000001,13.0
7,St. Louis Cardinals,218.0,4251.0,909.0,4.7,25.0,9.0,249.0,230.0,413.0,2363.0,11.0,16.0,5.3,122.0,461.0,1888.0,15.0,4.1,108.0,80.0,654.0,19.0,,,106.52,532.3,417.3,302.3,260.8,14.0,20.0,20.0,15.0,15.5,899.6199999999999,16.0,784.62,16.0,669.62,16.0
8,Oakland Raiders,228.0,4219.0,862.0,4.9,41.0,14.0,237.0,175.0,367.0,2111.0,12.0,27.0,5.2,106.0,459.0,2108.0,12.0,4.6,110.0,61.0,502.0,21.0,,,78.44,458.1,370.6,283.1,254.8,5.0,8.0,9.0,10.0,14.0,791.34,10.0,703.84,10.0,616.34,10.0
9,Dallas Cowboys,235.0,3463.0,803.0,4.3,26.0,13.0,199.0,178.0,349.0,2119.0,17.0,13.0,5.5,110.0,417.0,1344.0,8.0,3.2,63.0,69.0,657.0,26.0,,,126.76,491.9,402.9,313.9,156.4,21.0,12.0,15.0,19.0,3.0,775.06,6.0,686.06,8.0,597.06,8.0
