,Tm,PointsAllowed,TotalYardsAllowed,OffensivePlaysAllowed,YardsPerPlay,TO,ForcedFumbles,TotalFirstDownsAllowed,Cmp,PassingAttAllowed,PassingYardsAllowed,PassingTDAllowed,Int,NetYardsAllowedPerPass,PassingFirstDownsAllowed,RushingAttAllowed,RushingYdsAllowed,RushingTDAllowed,YardsPerRushAllowed,RushingFirstDownsAllowed,PenaltiesCommitted,PenaltyYardsAllowed,FirstDownsViaPenalty,PercentageOfDrivesEndingInOffensiveScores,PercentDrivesEndingInTO,PassingFantasyPointsAllowed,PPRReceivingFantasyPointsAllowed,HalfPPRReceivingFantasyPointsAllowed,StandardReceivingFantasyPointsAllowed,RushingFantasyPointsAllowed,PassingDefRank,PPRReceivingDefRank,HalfPPRReceivingDefRank,StandardReceivingDefRank,RushingDefRank,PPRFantasyPointsAllowed,PPRDefRank,HalfPPRFantasyPointsAllowed,HalfPPRDefRank,StandardFantasyPointsAllowed,StandardDefRank
0,New York Giants,211.0,4206.0,914.0,4.6,34.0,11.0,245.0,278.0,496.0,2747.0,12.0,23.0,5.2,139.0,388.0,1459.0,9.0,3.8,90.0,83.0,569.0,16.0,,,111.88,624.7,485.7,346.7,177.9,2.0,5.0,4.0,3.0,7.0,914.48,2.0,775.48,2.0,636.48,2.0
1,San Francisco 49ers,239.0,4273.0,919.0,4.6,31.0,14.0,250.0,265.0,522.0,3015.0,17.0,17.0,5.3,157.0,353.0,1258.0,7.0,3.6,77.0,85.0,641.0,16.0,,,154.6,668.5,536.0,403.5,139.8,10.0,10.0,9.0,8.0,1.0,962.9,3.0,830.4,3.0,697.9,3.0
2,Pittsburgh Steelers,240.0,4115.0,940.0,4.4,42.0,18.0,257.0,236.0,460.0,2500.0,9.0,24.0,5.1,130.0,446.0,1615.0,13.0,3.6,102.0,89.0,719.0,25.0,,,88.0,540.0,422.0,304.0,203.5,1.0,1.0,1.0,1.0,12.0,831.5,1.0,713.5,1.0,595.5,1.0
3,Miami Dolphins,242.0,4547.0,968.0,4.7,27.0,8.0,268.0,257.0,462.0,2716.0,14.0,19.0,5.4,145.0,461.0,1831.0,11.0,4.0,110.0,95.0,759.0,13.0,,,126.64,612.6,484.1,355.6,233.1,3.0,4.0,3.0,4.0,16.0,972.34,4.0,843.84,4.0,715.34,4.0
4,Kansas City Chiefs,257.0,4881.0,945.0,5.2,45.0,25.0,268.0,267.0,512.0,3241.0,16.0,20.0,5.7,164.0,373.0,1640.0,12.0,4.4,85.0,122.0,859.0,19.0,,,153.64,687.1,553.6,420.1,186.0,9.0,13.0,13.0,12.0,9.0,1026.74,10.0,893.24,10.0,759.74,10.0
5,Buffalo Bills,263.0,4607.0,981.0,4.7,35.0,17.0,288.0,254.0,455.0,2799.0,17.0,18.0,5.6,159.0,483.0,1808.0,13.0,3.7,105.0,107.0,839.0,24.0,,,143.95999999999998,635.9,508.9,381.9,224.8,7.0,7.0,6.0,5.0,14.0,1004.66,8.0,877.66,8.0,750.66,8.0
6,Los Angeles Raiders,268.0,4413.0,924.0,4.8,22.0,9.0,266.0,246.0,437.0,2697.0,20.0,13.0,5.6,152.0,439.0,1716.0,4.0,3.9,95.0,86.0,710.0,19.0,,,161.88,635.7,512.7,389.7,177.6,11.0,6.0,7.0,7.0,6.0,975.1800000000001,5.0,852.1800000000001,5.0,729.1800000000001,6.0
7,New Orleans Saints,275.0,4878.0,986.0,4.9,27.0,19.0,279.0,316.0,534.0,3319.0,21.0,8.0,5.8,167.0,410.0,1559.0,8.0,3.8,91.0,87.0,655.0,21.0,,,200.76,773.9,615.9,457.9,165.9,23.0,23.0,21.0,17.0,4.0,1140.56,16.0,982.56,16.0,824.56,15.0
8,Chicago Bears,280.0,4492.0,927.0,4.8,45.0,14.0,256.0,258.0,495.0,2920.0,19.0,31.0,5.4,147.0,391.0,1572.0,10.0,4.0,91.0,84.0,676.0,18.0,,,130.8,664.0,535.0,406.0,189.2,4.0,9.0,8.0,9.0,10.0,984.0,6.0,855.0,6.0,726.0,5.0
9,San Diego Chargers,281.0,4425.0,931.0,4.8,30.0,11.0,268.0,254.0,462.0,2910.0,22.0,19.0,5.7,152.0,424.0,1515.0,10.0,3.6,92.0,87.0,720.0,24.0,,,166.4,677.0,550.0,423.0,189.5,12.0,11.0,12.0,13.0,11.0,1032.9,11.0,905.9,13.0,778.9,12.0
