,Tm,PointsAllowed,TotalYardsAllowed,OffensivePlaysAllowed,YardsPerPlay,TO,ForcedFumbles,TotalFirstDownsAllowed,Cmp,PassingAttAllowed,PassingYardsAllowed,PassingTDAllowed,Int,NetYardsAllowedPerPass,PassingFirstDownsAllowed,RushingAttAllowed,RushingYdsAllowed,RushingTDAllowed,YardsPerRushAllowed,RushingFirstDownsAllowed,PenaltiesCommitted,PenaltyYardsAllowed,FirstDownsViaPenalty,PercentageOfDrivesEndingInOffensiveScores,PercentDrivesEndingInTO,PassingFantasyPointsAllowed,PPRReceivingFantasyPointsAllowed,HalfPPRReceivingFantasyPointsAllowed,StandardReceivingFantasyPointsAllowed,RushingFantasyPointsAllowed,PassingDefRank,PPRReceivingDefRank,HalfPPRReceivingDefRank,StandardReceivingDefRank,RushingDefRank,PPRFantasyPointsAllowed,PPRDefRank,HalfPPRFantasyPointsAllowed,HalfPPRDefRank,StandardFantasyPointsAllowed,StandardDefRank
15,Houston Oilers,319.0,4610.0,956.0,4.8,26.0,14.0,271.0,312.0,524.0,3225.0,24.0,12.0,5.8,169.0,397.0,1385.0,5.0,3.5,78.0,88.0,672.0,24.0,,,201.0,778.5,622.5,466.5,140.5,20.0,18.0,18.0,16.0,1.0,1120.0,13.0,964.0,12.0,808.0,12.0
16,Miami Dolphins,325.0,5191.0,987.0,5.3,36.0,16.0,306.0,337.0,539.0,3655.0,29.0,20.0,6.3,191.0,411.0,1536.0,10.0,3.7,91.0,98.0,786.0,24.0,,,222.2,876.5,708.0,539.5,181.6,26.0,28.0,28.0,29.0,7.0,1280.3,24.0,1111.8,23.0,943.3,21.0
17,Indianapolis Colts,334.0,5403.0,1022.0,5.3,23.0,10.0,305.0,318.0,534.0,3643.0,25.0,13.0,6.5,189.0,459.0,1760.0,12.0,3.8,108.0,121.0,970.0,8.0,,,219.72,832.3,673.3,514.3,228.0,25.0,24.0,24.0,24.0,17.0,1280.02,23.0,1121.02,24.0,962.02,25.0
18,Jacksonville Jaguars,335.0,5085.0,992.0,5.1,27.0,14.0,315.0,290.0,508.0,3304.0,24.0,13.0,6.1,180.0,447.0,1781.0,9.0,4.0,110.0,97.0,800.0,25.0,,,202.16,764.4,619.4,474.4,204.1,22.0,16.0,17.0,18.0,10.0,1170.6599999999999,17.0,1025.6599999999999,17.0,880.66,18.0
19,New Orleans Saints,339.0,4910.0,1027.0,4.8,22.0,10.0,287.0,267.0,465.0,2834.0,22.0,12.0,5.6,152.0,521.0,2076.0,11.0,4.0,104.0,102.0,823.0,31.0,,,177.36,682.4,548.9,415.4,253.60000000000002,16.0,5.0,5.0,7.0,21.0,1113.3600000000001,11.0,979.86,13.0,846.36,14.0
20,Philadelphia Eagles,341.0,4562.0,961.0,4.7,31.0,12.0,264.0,271.0,500.0,2979.0,18.0,19.0,5.5,150.0,421.0,1583.0,12.0,3.8,87.0,99.0,710.0,27.0,,,153.16,676.9,541.4,405.9,206.3,10.0,4.0,4.0,6.0,11.0,1036.3600000000001,5.0,900.86,6.0,765.36,8.0
21,Detroit Lions,368.0,5351.0,1044.0,5.1,19.0,8.0,324.0,311.0,502.0,3344.0,28.0,11.0,6.3,172.0,510.0,2007.0,12.0,3.9,126.0,114.0,938.0,26.0,,,223.76,813.4,657.9,502.4,256.7,27.0,23.0,22.0,22.0,22.0,1293.86,25.0,1138.36,25.0,982.8599999999999,26.0
22,Cincinnati Bengals,369.0,5469.0,1047.0,5.2,44.0,10.0,317.0,319.0,571.0,3826.0,22.0,34.0,6.3,196.0,444.0,1643.0,15.0,3.7,109.0,102.0,768.0,12.0,,,173.04,833.6,674.1,514.6,234.3,13.0,26.0,25.0,25.0,19.0,1240.94,20.0,1081.44,20.0,921.94,20.0
23,San Diego Chargers,376.0,5421.0,1100.0,4.9,36.0,14.0,321.0,369.0,636.0,3666.0,28.0,22.0,5.5,199.0,431.0,1755.0,10.0,4.1,92.0,115.0,991.0,30.0,,,214.64,903.6,719.1,534.6,207.5,24.0,29.0,29.0,28.0,12.0,1325.74,27.0,1141.24,26.0,956.74,24.0
24,Seattle Seahawks,376.0,5437.0,1066.0,5.1,32.0,18.0,325.0,303.0,512.0,3339.0,25.0,14.0,6.0,181.0,506.0,2098.0,15.0,4.1,114.0,98.0,804.0,30.0,,,205.56,786.9,635.4,483.9,263.8,23.0,19.5,20.0,21.0,24.0,1256.26,22.0,1104.76,22.0,953.26,23.0
25,Arizona Cardinals,397.0,5361.0,1062.0,5.0,25.0,14.0,337.0,311.0,520.0,3499.0,21.0,11.0,6.4,192.0,514.0,1862.0,18.0,3.6,120.0,104.0,841.0,25.0,,,201.96,786.9,631.4,475.9,266.2,21.0,19.5,19.0,19.0,25.0,1255.06,21.0,1099.56,21.0,944.06,22.0
26,St. Louis Rams,409.0,5529.0,1068.0,5.2,39.0,13.0,329.0,341.0,558.0,3675.0,23.0,26.0,6.2,191.0,478.0,1854.0,22.0,3.9,114.0,111.0,832.0,24.0,,,187.0,846.5,676.0,505.5,291.4,19.0,27.0,26.0,23.0,28.0,1324.9,26.0,1154.4,27.0,983.9,27.0
27,Baltimore Ravens,441.0,5889.0,1075.0,5.5,22.0,7.0,351.0,350.0,537.0,3969.0,27.0,15.0,7.0,213.0,508.0,1920.0,18.0,3.8,115.0,104.0,744.0,23.0,,,236.76,908.9,733.9,558.9,286.0,28.0,30.0,30.0,30.0,27.0,1431.6599999999999,30.0,1256.6599999999999,30.0,1081.6599999999999,29.0
28,New York Jets,454.0,5564.0,1023.0,5.4,26.0,15.0,304.0,257.0,456.0,3364.0,33.0,11.0,7.0,157.0,539.0,2200.0,19.0,4.1,119.0,107.0,902.0,28.0,,,244.56,791.4,662.9,534.4,304.0,30.0,21.0,23.0,27.0,29.0,1339.96,28.0,1211.46,29.0,1082.96,30.0
29,Atlanta Falcons,461.0,5786.0,994.0,5.8,23.0,17.0,309.0,302.0,485.0,3745.0,26.0,6.0,7.2,182.0,473.0,2041.0,18.0,4.3,102.0,106.0,816.0,25.0,,,241.8,832.5,681.5,530.5,278.1,29.0,25.0,27.0,26.0,26.0,1352.4,29.0,1201.4,28.0,1050.4,28.0
