,Tm,PointsAllowed,TotalYardsAllowed,OffensivePlaysAllowed,YardsPerPlay,TO,ForcedFumbles,TotalFirstDownsAllowed,Cmp,PassingAttAllowed,PassingYardsAllowed,PassingTDAllowed,Int,NetYardsAllowedPerPass,PassingFirstDownsAllowed,RushingAttAllowed,RushingYdsAllowed,RushingTDAllowed,YardsPerRushAllowed,RushingFirstDownsAllowed,PenaltiesCommitted,PenaltyYardsAllowed,FirstDownsViaPenalty,PercentageOfDrivesEndingInOffensiveScores,PercentDrivesEndingInTO,PassingFantasyPointsAllowed,PPRReceivingFantasyPointsAllowed,HalfPPRReceivingFantasyPointsAllowed,StandardReceivingFantasyPointsAllowed,RushingFantasyPointsAllowed,PassingDefRank,PPRReceivingDefRank,HalfPPRReceivingDefRank,StandardReceivingDefRank,RushingDefRank,PPRFantasyPointsAllowed,PPRDefRank,HalfPPRFantasyPointsAllowed,HalfPPRDefRank,StandardFantasyPointsAllowed,StandardDefRank
0,New York Giants,205.0,4663.0,950.0,4.9,28.0,10.0,268.0,298.0,514.0,3116.0,13.0,18.0,5.6,161.0,395.0,1547.0,7.0,3.9,89.0,98.0,820.0,18.0,,,140.64,687.6,538.6,389.6,176.7,3.0,9.0,7.0,5.0,7.0,1004.94,5.0,855.94,5.0,706.94,5.0
1,Dallas Cowboys,229.0,4767.0,1012.0,4.7,28.0,14.0,297.0,334.0,555.0,3116.0,14.0,14.0,5.3,176.0,423.0,1651.0,7.0,3.9,94.0,87.0,653.0,27.0,,,152.64,729.6,562.6,395.6,179.1,7.0,15.0,13.0,7.0,8.0,1061.3400000000001,8.0,894.34,7.0,727.34,7.0
2,Chicago Bears,230.0,4653.0,1026.0,4.5,30.0,12.0,289.0,306.0,504.0,2818.0,12.0,18.0,5.1,163.0,476.0,1835.0,9.0,3.9,112.0,91.0,783.0,14.0,,,124.72,659.8,506.8,353.8,213.5,2.0,4.0,1.0,2.0,17.0,998.02,4.0,845.02,4.0,692.02,2.0
3,Houston Oilers,238.0,4874.0,1003.0,4.9,43.0,17.0,289.0,302.0,582.0,3601.0,16.0,26.0,5.7,184.0,369.0,1273.0,9.0,3.4,73.0,103.0,791.0,32.0,,,156.04,758.1,607.1,456.1,147.3,9.0,20.0,18.0,18.0,2.0,1061.44,9.0,910.44,9.0,759.44,8.0
4,Buffalo Bills,242.0,5554.0,1119.0,5.0,47.0,24.0,331.0,323.0,582.0,3633.0,18.0,23.0,5.9,199.0,500.0,1921.0,7.0,3.8,114.0,99.0,681.0,18.0,,,171.32,794.3,632.8,471.3,186.1,17.0,23.5,24.0,23.0,9.0,1151.7199999999998,20.0,990.2199999999999,19.0,828.72,17.0
5,New York Jets,247.0,4712.0,949.0,5.0,37.0,18.0,266.0,296.0,497.0,3239.0,15.0,19.0,6.1,161.0,420.0,1473.0,8.0,3.5,93.0,86.0,661.0,12.0,,,151.56,709.9,561.9,413.9,159.3,6.0,12.0,12.0,11.0,4.0,1020.76,6.0,872.76,6.0,724.76,6.0
6,Phoenix Cardinals,269.0,5167.0,962.0,5.4,26.0,17.0,278.0,281.0,495.0,3306.0,14.0,9.0,6.2,158.0,433.0,1861.0,13.0,4.3,106.0,95.0,730.0,14.0,,,170.24,695.6,555.1,414.6,230.10000000000002,16.0,11.0,11.0,12.0,19.0,1095.94,15.0,955.44,14.0,814.94,15.0
7,Pittsburgh Steelers,281.0,4531.0,962.0,4.7,38.0,14.0,267.0,277.0,521.0,3163.0,16.0,24.0,5.6,163.0,399.0,1368.0,6.0,3.4,74.0,77.0,652.0,30.0,,,142.51999999999998,689.3,550.8,412.3,144.8,4.0,10.0,9.0,10.0,1.0,976.6199999999999,1.0,838.1199999999999,2.0,699.62,4.0
8,Green Bay Packers,282.0,4482.0,999.0,4.5,33.0,15.0,261.0,290.0,529.0,2900.0,16.0,18.0,5.0,157.0,424.0,1582.0,6.0,3.7,88.0,85.0,712.0,16.0,,,144.0,676.0,531.0,386.0,164.2,5.0,6.0,6.0,3.0,5.0,984.2,2.0,839.2,3.0,694.2,3.0
9,Denver Broncos,284.0,5149.0,1005.0,5.1,31.0,13.0,280.0,314.0,562.0,3731.0,21.0,18.0,6.1,181.0,397.0,1418.0,6.0,3.6,86.0,128.0,1019.0,13.0,,,197.24,813.1,656.1,499.1,151.8,24.0,26.0,26.0,26.0,3.0,1162.14,21.0,1005.1400000000001,22.0,848.1400000000001,21.0
