,Rk,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
0,1,2017,Jamaal Williams,RB,21,16,BYU,6-0,212,4.59,30.0,,123.0,7.25,4.53,Green Bay Packers / 4th / 134th pick / 2017
1,2,2017,De'Veon Smith,RB,22,0,Michigan,5-11,223,,29.0,22.0,108.0,7.3,4.56,
2,3,2017,Samaje Perine,RB,21,5,Oklahoma,5-11,233,4.65,33.0,30.0,116.0,7.26,4.37,Washington Redskins / 4th / 114th pick / 2017
3,4,2017,Dare Ogunbowale,RB,22,2,Wisconsin,5-11,213,4.65,35.0,14.0,120.0,6.99,4.34,
4,5,2017,Jeremy McNichols,RB,21,0,Boise State,5-9,214,4.49,35.5,,121.0,6.93,4.28,Tampa Bay Buccaneers / 5th / 162nd pick / 2017
5,6,2017,Elijah McGuire,RB,22,6,Louisiana,5-10,214,4.53,36.0,15.0,120.0,7.26,4.56,New York Jets / 6th / 188th pick / 2017
6,7,2017,Christian McCaffrey,RB,20,40,Stanford,5-11,202,4.48,37.5,10.0,121.0,6.57,4.22,Carolina Panthers / 1st / 8th pick / 2017
7,8,2017,Marlon Mack,RB,20,19,South Florida,5-11,213,4.5,35.5,15.0,125.0,,,Indianapolis Colts / 4th / 143rd pick / 2017
8,9,2017,T.J. Logan,RB,22,0,North Carolina,5-9,196,4.37,33.5,17.0,121.0,,,Arizona Cardinals / 5th / 179th pick / 2017
9,10,2017,Alvin Kamara,RB,21,43,Tennessee,5-10,214,4.56,39.5,15.0,131.0,,,New Orleans Saints / 3rd / 67th pick / 2017
10,11,2017,Aaron Jones,RB,22,21,Texas-El Paso,5-9,208,4.56,37.5,16.0,127.0,6.82,4.2,Green Bay Packers / 5th / 182nd pick / 2017
11,12,2017,Kareem Hunt,RB,21,29,Toledo,5-10,216,4.62,36.5,18.0,119.0,,,Kansas City Chiefs / 3rd / 86th pick / 2017
12,13,2017,Elijah Hood,RB,20,0,North Carolina,6-0,232,,,18.0,,,,Oakland Raiders / 7th / 242nd pick / 2017
13,14,2017,Brian Hill,RB,21,5,Wyoming,6-1,219,4.54,34.0,15.0,125.0,7.03,4.32,Atlanta Falcons / 5th / 156th pick / 2017
14,15,2017,Wayne Gallman,RB,22,7,Clemson,6-0,215,4.6,29.5,21.0,120.0,7.17,4.28,New York Giants / 4th / 140th pick / 2017
15,16,2017,Leonard Fournette,RB,22,21,LSU,6-0,240,4.51,28.5,,,,,Jacksonville Jaguars / 1st / 4th pick / 2017
16,17,2017,D'Onta Foreman,RB,20,3,Texas,6-0,233,,,18.0,,,,Houston Texans / 3rd / 89th pick / 2017
17,18,2017,Matthew Dayes,RB,22,0,North Carolina State,5-9,205,4.47,28.0,18.0,109.0,,,Cleveland Browns / 7th / 252nd pick / 2017
18,19,2017,Justin Davis,RB,21,0,USC,6-1,208,,,21.0,,,,
19,20,2017,Dalvin Cook,RB,21,24,Florida State,5-10,210,4.49,30.5,22.0,116.0,7.27,4.53,Minnesota Vikings / 2nd / 41st pick / 2017
20,21,2017,James Conner,RB,21,16,Pittsburgh,6-1,233,4.65,29.0,20.0,113.0,,,Pittsburgh Steelers / 3rd / 105th pick / 2017
21,22,2017,Tarik Cohen,RB,21,21,North Carolina A&T,5-6,179,4.42,31.5,11.0,118.0,,,Chicago Bears / 4th / 119th pick / 2017
22,23,2017,Corey Clement,RB,22,6,Wisconsin,5-10,220,4.68,28.5,19.0,115.0,,,
23,24,2017,Chris Carson,RB,22,22,Oklahoma State,6-0,218,4.58,37.0,23.0,130.0,,,Seattle Seahawks / 7th / 249th pick / 2017
