season,week,player,player_id,pos,team,snapcount,snapcount_percentage,pass_yds,pass_td,pass_att,pass_cmp,rec_yds,rec_td,rec,targets,rush_att,rush_td,fumble,fumble_lost,interceptions
2020,14,Morgan Fox,MOFO940,DEF,RAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,14,Nsimba Webster,NSWE961,WR,RAM,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,14,Jake McQuaide,JAMC870,OL,RAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,14,Robert Woods,ROWO921,WR,RAM,49.0,78.0,0.0,0.0,0.0,0.0,32.0,0.0,5.0,8.0,1.0,0.0,0.0,0.0,0.0
2020,14,Josh Reynolds,JORE951,WR,RAM,35.0,56.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2020,14,A'Shawn Robinson,A'RO950,DEF,RAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,14,Derek Rivers,DERI940,DEF,RAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,14,Malcolm Brown,MABR932,RB,RAM,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2020,14,Greg Gaines,GRGA960,DEF,RAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,14,Johnny Hekker,JOHE900,P,RAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,14,Cam Akers,CAAK992,RB,RAM,50.0,79.0,0.0,0.0,0.0,0.0,23.0,0.0,2.0,3.0,29.0,0.0,0.0,0.0,0.0
2020,14,Tyler Higbee,TYHI933,TE,RAM,55.0,87.0,0.0,0.0,0.0,0.0,34.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
2020,14,Austin Corbett,AUCO950,OL,RAM,63.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
