season,week,player,player_id,pos,team,snapcount,snapcount_percentage,pass_yds,pass_td,pass_att,pass_cmp,rec_yds,rec_td,rec,targets,rush_att,rush_td,fumble,fumble_lost,interceptions
2020,16,Zack Baun,ZABA960,DEF,NOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,16,Emmanuel Sanders,EMSA871,WR,NOR,38.0,51.0,0.0,0.0,0.0,0.0,83.0,0.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0
2020,16,Marquez Callaway,MACA981,WR,NOR,42.0,56.0,0.0,0.0,0.0,0.0,26.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0
2020,16,Austin Carr,AUCA931,WR,NOR,21.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2020,16,D.J. Swearinger,D.SW910,DEF,NOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,16,David Onyemata,DAON920,DEF,NOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,16,Ty Montgomery,TYMO931,WR,NOR,16.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2020,16,Shy Tuttle,SHTU950,DEF,NOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,16,Alex Anzalone,ALAN940,OL,NOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,16,Taysom Hill,TAHI904,QB,NOR,24.0,32.0,8.0,0.0,2.0,2.0,19.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0
2020,16,Lil'Jordan Humphrey,LIHU981,WR,NOR,16.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,16,Terron Armstead,TEAR910,OL,NOR,75.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,16,Will Clapp,WICL950,OL,NOR,16.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,16,Drew Brees,DRBR794,QB,NOR,68.0,91.0,311.0,0.0,26.0,19.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0
2020,16,Adam Trautman,ADTR973,TE,NOR,52.0,69.0,0.0,0.0,0.0,0.0,45.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
2020,16,Malcolm Roach,MARO980,DEF,NOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,16,Shamar Stephen,SHST910,DEF,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,16,Adam Thielen,ADTH901,WR,MIN,56.0,88.0,0.0,0.0,0.0,0.0,97.0,1.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0
2020,16,D.J. Wonnum,D.WO970,DEF,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,16,James Lynch,JALY990,DEF,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,16,Armon Watts,ARWA960,DEF,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,16,Chad Beebe,CHBE941,WR,MIN,23.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,16,Kirk Cousins,KICO884,QB,MIN,64.0,100.0,291.0,3.0,41.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020,16,Jeff Gladney,JEGL960,DEF,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,16,Justin Jefferson,JUJE991,WR,MIN,58.0,91.0,0.0,0.0,0.0,0.0,85.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0
2020,16,Olabisi Johnson,OLJO971,WR,MIN,11.0,17.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
