,Rk,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
0,1,2007,Isaiah Stanback,QB,22,0,Washington,6-2,216,4.6,,22.0,,,,Dallas Cowboys / 4th / 103rd pick / 2007
1,2,2007,Drew Stanton,QB,22,10,Michigan State,6-3,226,4.75,30.5,,108.0,6.77,4.41,Detroit Lions / 2nd / 43rd pick / 2007
2,3,2007,Troy Smith,QB,22,6,Ohio State,6-0,225,4.72,,,,,,Baltimore Ravens / 5th / 174th pick / 2007
3,4,2007,JaMarcus Russell,QB,21,6,LSU,6-5,265,4.83,,,,,,Oakland Raiders / 1st / 1st pick / 2007
4,5,2007,Jeff Rowe,QB,22,0,Nevada,6-5,226,4.91,29.5,,114.0,7.16,4.42,Cincinnati Bengals / 5th / 151st pick / 2007
5,6,2007,Brady Quinn,QB,22,2,Notre Dame,6-4,232,4.73,,24.0,,,,Cleveland Browns / 1st / 22nd pick / 2007
6,7,2007,Jordan Palmer,QB,22,0,Texas-El Paso,6-6,231,4.98,30.5,,104.0,7.32,4.58,Washington Redskins / 6th / 205th pick / 2007
7,8,2007,Tyler Palko,QB,23,2,Pittsburgh,6-1,215,4.83,31.5,,112.0,7.05,4.36,
8,9,2007,Kevin Kolb,QB,22,13,Houston,6-3,218,4.85,32.5,,112.0,6.94,4.44,Philadelphia Eagles / 2nd / 36th pick / 2007
9,10,2007,Matt Gutierrez,QB,22,0,Idaho State,6-4,232,5.0,29.5,,108.0,6.99,4.28,
10,11,2007,Trent Edwards,QB,23,18,Stanford,6-4,231,4.76,,19.0,,7.14,4.46,Buffalo Bills / 3rd / 92nd pick / 2007
11,12,2007,John Beck,QB,25,4,BYU,6-2,215,4.75,29.5,,111.0,6.81,4.17,Miami Dolphins / 2nd / 40th pick / 2007
