,Rk,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
0,1,2007,Selvin Young,RB,23,9,Texas,5-11,207,4.58,,,,,,
1,2,2007,DeShawn Wynn,RB,23,3,Florida,5-10,232,4.47,31.5,,115.0,,,Green Bay Packers / 7th / 228th pick / 2007
2,3,2007,Dwayne Wright,RB,23,1,Fresno State,5-11,228,4.66,34.0,14.0,115.0,7.23,4.43,Buffalo Bills / 4th / 111th pick / 2007
3,4,2007,Garrett Wolfe,RB,22,2,Northern Illinois,5-7,186,4.39,35.5,22.0,116.0,6.69,4.08,Chicago Bears / 3rd / 93rd pick / 2007
4,5,2007,Darius Walker,RB,21,3,Notre Dame,5-10,206,4.55,40.5,19.0,123.0,7.18,4.39,
5,6,2007,Kolby Smith,RB,22,4,Louisville,5-11,220,4.5,38.0,18.0,114.0,7.22,4.34,Kansas City Chiefs / 5th / 148th pick / 2007
6,7,2007,Gary Russell,RB,20,1,Minnesota,5-10,229,4.77,31.5,9.0,113.0,,4.54,
7,8,2007,Antonio Pittman,RB,21,3,Ohio State,5-11,207,4.4,35.5,16.0,123.0,6.84,4.16,New Orleans Saints / 4th / 107th pick / 2007
8,9,2007,Adrian Peterson,RB,21,121,Oklahoma,6-1,217,4.4,38.5,,127.0,7.09,4.4,Minnesota Vikings / 1st / 7th pick / 2007
9,10,2007,Marshawn Lynch,RB,20,90,California,5-11,215,4.46,35.5,20.0,125.0,7.05,4.55,Buffalo Bills / 1st / 12th pick / 2007
10,11,2007,Brian Leonard,RB,23,12,Rutgers,6-1,226,4.52,34.5,28.0,122.0,6.88,4.22,St. Louis Rams / 2nd / 52nd pick / 2007
11,12,2007,Brandon Jackson,RB,21,17,Nebraska,5-10,210,4.54,37.0,21.0,122.0,7.0,4.14,Green Bay Packers / 2nd / 63rd pick / 2007
12,13,2007,Tony Hunt,RB,21,0,Penn State,6-2,233,4.68,,24.0,,,,Philadelphia Eagles / 3rd / 90th pick / 2007
13,14,2007,Chris Henry,RB,21,1,Arizona,5-11,230,4.4,36.0,26.0,127.0,6.96,4.14,Tennessee Titans / 2nd / 50th pick / 2007
14,15,2007,Kenneth Darby,RB,24,4,Alabama,5-10,211,4.75,30.0,19.0,108.0,7.25,4.53,Tampa Bay Buccaneers / 7th / 246th pick / 2007
15,16,2007,Alonzo Coleman,RB,23,0,Kansas State,5-10,207,4.49,,27.0,120.0,,,
16,17,2007,Thomas Clayton,RB,22,0,Kansas State,5-10,218,4.63,36.5,23.0,121.0,,,
17,18,2007,Michael Bush,RB,22,26,Louisville,6-1,243,4.62,,,,,,Oakland Raiders / 4th / 100th pick / 2007
18,19,2007,Eldra Buckley,RB,21,1,Tenn-Chattanooga,5-9,202,4.56,35.5,14.0,120.0,7.71,4.43,
19,20,2007,Ahmad Bradshaw,RB,20,47,Marshall,5-9,198,4.55,34.0,,112.0,6.7,4.09,New York Giants / 7th / 250th pick / 2007
20,21,2007,Lorenzo Booker,RB,22,4,Florida State,5-10,191,4.46,35.5,26.0,121.0,,,Miami Dolphins / 3rd / 71st pick / 2007
