Pos,Team,Name,G,Snaps,TeamSnaps,Snap%,Per Game,RushPerc,TargetP,TouchPerc,FP,FPPerSnap
RB,CAR,Christian McCaffrey,16,1056,1131,93.37,66,27.18,13.35,40.53,355.2,0.34
WR,CHI,Allen Robinson,16,1025,1091,93.95,64.06,0.1,15.02,15.12,156.9,0.15
WR,CLE,Odell Beckham Jr,16,1021,1070,95.42,63.81,0.29,13.03,13.32,127.3,0.12
WR,NE,Julian Edelman,16,1011,1159,87.23,63.19,0.79,15.13,15.92,156.28,0.15
WR,SEA,Tyler Lockett,16,1010,1124,89.86,63.13,0.4,10.89,11.29,153.2,0.15
WR,LAR,Robert Woods,15,1010,1079,93.61,67.33,1.68,13.76,15.45,142.9,0.14
WR,CLE,Jarvis Landry,16,1002,1070,93.64,62.63,0.1,13.77,13.87,154.4,0.15
WR,CIN,Tyler Boyd,16,1001,1123,89.14,62.56,0.4,14.69,15.08,132.9,0.13
WR,HOU,DeAndre Hopkins,15,1000,1030,97.09,66.67,0.2,15,15.2,164.54,0.16
TE,KC,Travis Kelce,16,983,1062,92.56,61.44,0.1,13.84,13.94,157.3,0.16
WR,CAR,Curtis Samuel,16,970,1131,85.76,60.63,1.96,10.93,12.89,117.7,0.12
WR,NO,Michael Thomas,16,959,1083,88.55,59.94,0.1,19.29,19.4,225.6,0.24
WR,DET,Kenny Golladay,16,958,1103,86.85,59.88,0,12.11,12.11,183,0.19
WR,TB,Chris Godwin,14,957,1035,92.46,68.36,0.1,12.54,12.64,190.1,0.2
TE,PHI,Zach Ertz,15,953,1110,85.86,63.53,0,14.17,14.17,127.6,0.13
WR,LAC,Keenan Allen,16,944,1071,88.14,59,0.32,15.78,16.1,157.5,0.17
WR,NYJ,Robby Anderson,16,944,1035,91.21,59,0.11,10.17,10.28,110.3,0.12
WR,DEN,Courtland Sutton,16,943,1025,92,58.94,0.32,13.26,13.57,150.42,0.16
RB,DAL,Ezekiel Elliott,16,942,1130,83.36,58.88,31.95,7.54,39.49,257.7,0.27
WR,SEA,D.K. Metcalf,16,940,1124,83.63,58.75,0.21,10.64,10.85,129.1,0.14
TE,OAK,Darren Waller,16,940,1037,90.65,58.75,0.21,12.45,12.66,131,0.14
WR,BUF,John Brown,15,939,1033,90.9,62.6,0.21,12.25,12.46,147.82,0.16
WR,CAR,D.J. Moore,15,925,1060,87.26,61.67,0.65,14.59,15.24,143.5,0.16
RB,JAX,Leonard Fournette,15,918,1039,88.35,61.2,28.87,10.89,39.76,183.4,0.2
WR,MIA,Devante Parker,16,914,1085,84.24,57.13,0,14,14,174.2,0.19
WR,LAR,Cooper Kupp,16,907,1134,79.98,56.69,0.22,14.77,14.99,176.5,0.19
WR,ARI,Larry Fitzgerald,16,903,1065,84.79,56.44,0,12.07,12.07,102.4,0.11
WR,JAX,Chris Conley,16,880,1108,79.42,55,0,10.23,10.23,109.5,0.12
WR,JAX,D.J. Chark,15,864,1051,82.21,57.6,0.23,13.66,13.89,152.8,0.18
WR,DEN,Emmanuel Sanders,17,859,1113,77.18,50.53,0,11.29,11.29,124.3,0.14
WR,DAL,Michael Gallup,14,854,1000,85.4,61,0,13.11,13.11,146.7,0.17
TE,DAL,Jason Witten,16,852,1130,75.4,53.25,0,9.74,9.74,76.9,0.09
WR,DAL,Amari Cooper,16,851,1130,75.31,53.19,0.12,13.98,14.1,167.5,0.2
WR,LAC,Mike Williams,15,850,1004,84.66,56.67,0.12,10.59,10.71,112.3,0.13
WR,DET,Marvin Jones,13,837,929,90.1,64.38,0.24,10.99,11.23,131.9,0.16
WR,ATL,Julio Jones,15,834,1097,76.03,55.6,0.24,18.82,19.06,175.1,0.21
WR,NYJ,Jamison Crowder,16,815,1035,78.74,50.94,0.12,14.97,15.09,119.7,0.15
TE,SF,George Kittle,14,815,921,88.49,58.21,0.61,13.13,13.74,137.5,0.17
TE,IND,Jack Doyle,16,811,1092,74.27,50.69,0,8.88,8.88,68.8,0.08
WR,TB,Mike Evans,13,810,960,84.38,62.31,0,14.57,14.57,165.7,0.2
WR,IND,Zach Pascal,16,809,1092,74.08,50.56,0.25,8.9,9.15,94.3,0.12
TE,MIN,Kyle Rudolph,16,807,1036,77.9,50.44,0,5.95,5.95,74.7,0.09
RB,LAR,Todd Gurley,15,807,1081,74.65,53.8,27.63,6.07,33.71,188.4,0.23
