Pos,Team,Name,G,Snaps,TeamSnaps,Snap%,Per Game,RushPerc,TargetP,TouchPerc,FP,FPPerSnap
WR,BUF,Stefon Diggs,19,1136,1277,88.96,59.79,0.09,17.43,17.52,244.7,0.22
WR,LAR,Robert Woods,18,1124,1246,90.21,62.44,2.22,13.17,15.39,170.4,0.15
WR,TB,Mike Evans,20,1092,1352,80.77,54.6,0,12,12,211,0.19
TE,KC,Travis Kelce,18,1088,1257,86.56,60.44,0,17.19,17.19,261.76,0.24
WR,KC,Tyreek Hill,18,1085,1257,86.32,60.28,1.57,15.21,16.77,278.8,0.26
TE,WAS,Logan Thomas,17,1081,1162,93.03,63.59,0.28,10.92,11.19,112.02,0.1
WR,ARI,DeAndre Hopkins,16,1044,1131,92.31,65.25,0.1,15.33,15.42,172.8,0.17
WR,SEA,DK Metcalf,17,1043,1129,92.38,61.35,0,13.42,13.42,209.9,0.2
TE,TB,Rob Gronkowski,20,1036,1352,76.63,51.8,0,8.78,8.78,127.3,0.12
WR,WAS,Terry McLaurin,16,1019,1091,93.4,63.69,0.2,13.84,14.03,144.3,0.14
WR,PIT,JuJu Smith-Schuster,17,1010,1188,85.02,59.41,0,14.55,14.55,158.8,0.16
WR,SEA,Tyler Lockett,17,1005,1129,89.02,59.12,0,13.53,13.53,169.7,0.17
WR,DAL,Michael Gallup,16,1003,1145,87.6,62.69,0,10.57,10.57,114.3,0.11
TE,LV,Darren Waller,16,992,1082,91.68,62,0,14.72,14.72,171.5,0.17
TE,DAL,Dalton Schultz,16,971,1145,84.8,60.69,0,9.17,9.17,83.5,0.09
WR,CHI,Allen Robinson II,17,955,1121,85.19,56.18,0.1,16.54,16.65,166.4,0.17
WR,DAL,Amari Cooper,16,943,1145,82.36,58.94,0.64,13.79,14.42,144.8,0.15
WR,DET,Marvin Jones Jr.,16,942,1049,89.8,58.88,0,12.21,12.21,151.8,0.16
WR,MIN,Adam Thielen,15,926,1009,91.77,61.73,0.32,11.66,11.99,180,0.19
WR,LAC,Jalen Guyton,16,919,1173,78.35,57.44,0.22,5.98,6.2,69.1,0.08
WR,TB,Chris Godwin,16,919,1074,85.57,57.44,0.11,12.62,12.73,155.8,0.17
WR,BAL,Marquise Brown,18,916,1170,78.29,50.89,0.33,12.66,12.99,146.5,0.16
TE,LAC,Hunter Henry,14,913,1045,87.37,65.21,0,10.19,10.19,85.3,0.09
TE,LAR,Tyler Higbee,17,911,1174,77.6,53.59,0.11,7.14,7.24,85.1,0.09
WR,IND,Zach Pascal,17,908,1170,77.61,53.41,0,8.37,8.37,102.6,0.11
WR,GB,Davante Adams,16,905,1061,85.3,56.56,0,19.23,19.23,268.7,0.3
WR,LAR,Cooper Kupp,16,905,1120,80.8,56.56,0.44,14.81,15.25,124.5,0.14
WR,NE,Damiere Byrd,16,901,1011,89.12,56.31,0.22,8.55,8.77,67.9,0.08
WR,LAR,Josh Reynolds,18,899,1246,72.15,49.94,0.11,9.45,9.57,78.8,0.09
WR,MIN,Justin Jefferson,16,886,1082,81.89,55.38,0.11,14.11,14.22,186.2,0.21
WR,NYG,Darius Slayton,16,877,1013,86.57,54.81,0.23,11.06,11.29,91,0.1
WR,GB,Marquez Valdes-Scantling,18,876,1186,73.86,48.67,0.46,8.79,9.25,125.1,0.14
WR,LAC,Keenan Allen,14,874,1045,83.64,62.43,0.11,16.7,16.82,145.1,0.17
WR,BUF,Gabriel Davis,19,871,1277,68.21,45.84,0.11,8.38,8.5,110.4,0.13
TE,CIN,Drew Sample,16,868,1080,80.37,54.25,0,6.11,6.11,38.9,0.04
WR,KC,Demarcus Robinson,19,846,1310,64.58,44.53,0,7.57,7.57,65.1,0.08
TE,NYG,Evan Engram,16,837,1013,82.63,52.31,0.72,13.02,13.74,78,0.09
WR,CAR,D.J. Moore,15,835,967,86.35,55.67,0.24,14.13,14.37,145.5,0.17
WR,ATL,Calvin Ridley,15,822,1051,78.21,54.8,0.61,17.4,18,191.5,0.23
WR,CIN,A.J. Green,16,820,1080,75.93,51.25,0,12.68,12.68,64.3,0.08
WR,BUF,Cole Beasley,18,818,1213,67.44,45.44,0,15.28,15.28,140,0.17
TE,PIT,Eric Ebron,16,816,1121,72.79,51,0,12.5,12.5,98,0.12
WR,CLE,Jarvis Landry,17,815,1111,73.36,47.94,0.49,14.6,15.09,139.16,0.17
WR,PIT,Diontae Johnson,16,812,1123,72.31,50.75,0.37,19.7,20.07,145.6,0.18
WR,DEN,Jerry Jeudy,16,805,1075,74.88,50.31,0,14.04,14.04,105.6,0.13
WR,CIN,Tee Higgins,16,805,1080,74.54,50.31,0.62,13.29,13.91,127.6,0.16
WR,TEN,A.J. Brown,15,804,986,81.54,53.6,0,14.43,14.43,185.6,0.23
WR,CAR,Robby Anderson,16,804,1034,77.76,50.25,0.5,17.04,17.54,129.1,0.16
WR,HOU,Brandin Cooks,15,802,914,87.75,53.47,0,14.84,14.84,151,0.19
WR,LAC,Mike Williams,15,799,1120,71.34,53.27,0.13,10.64,10.76,105.7,0.13
RB,CHI,David Montgomery,16,796,1071,74.32,49.75,32.54,8.67,41.21,213.9,0.27
WR,PHI,Greg Ward,16,791,1128,70.12,49.44,0.25,9.99,10.24,80.1,0.1
RB,DAL,Ezekiel Elliott,15,787,1087,72.4,52.47,31,9.15,40.15,171.7,0.22
TE,ATL,Hayden Hurst,16,785,1122,69.96,49.06,0,11.08,11.08,93.1,0.12
WR,JAX,Keelan Cole,16,785,1037,75.7,49.06,0.13,10.96,11.08,94.4,0.12
TE,CLE,Austin Hooper,15,784,1008,77.78,52.27,0,10.71,10.71,79.7,0.1
WR,ARI,Christian Kirk,14,781,1013,77.1,55.79,0.26,10.12,10.37,98.4,0.13
WR,CHI,Darnell Mooney,16,781,1071,72.92,48.81,0.51,12.55,13.06,91.1,0.12
TE,TEN,Jonnu Smith,16,779,1051,74.12,48.69,0.26,8.73,8.99,100.1,0.13
RB,NO,Alvin Kamara,17,773,1161,66.58,45.47,29.5,14.88,44.37,322.9,0.42
WR,IND,Michael Pittman Jr.,14,772,979,78.86,55.14,0.52,9.07,9.59,69,0.09
TE,DET,T.J. Hockenson,16,767,1049,73.12,47.94,0.13,13.17,13.3,108.3,0.14
WR,ATL,Russell Gage,16,762,1122,67.91,47.63,0.26,14.44,14.7,109.06,0.14
WR,PIT,Chase Claypool,17,762,1188,64.14,44.82,1.31,15.22,16.54,170.8,0.22
WR,DEN,Tim Patrick,15,750,1010,74.26,50,0,10.53,10.53,110.2,0.15
WR,TEN,Corey Davis,15,750,982,76.37,50,0,12.53,12.53,126.4,0.17
RB,BUF,Devin Singletary,19,746,1277,58.42,39.26,23.06,7.91,30.97,116.3,0.16
RB,TEN,Derrick Henry,17,746,1123,66.43,43.88,53.08,4.56,57.64,319.2,0.43
WR,CIN,Tyler Boyd,15,746,1004,74.3,49.73,0.67,14.75,15.42,113.64,0.15
WR,IND,T.Y. Hilton,16,745,1102,67.6,46.56,0,13.15,13.15,111.4,0.15
WR,ARI,Larry Fitzgerald,13,745,940,79.26,57.31,0,9.66,9.66,46.9,0.06
TE,GB,Robert Tonyan,18,733,1186,61.8,40.72,0,9.14,9.14,138.8,0.19
TE,DEN,Noah Fant,15,732,1011,72.4,48.8,0,12.7,12.7,87.3,0.12
WR,LV,Nelson Agholor,16,731,1082,67.56,45.69,0,11.22,11.22,137.6,0.19
WR,DAL,CeeDee Lamb,16,730,1145,63.76,45.63,1.37,15.07,16.44,137.7,0.19
WR,SF,Brandon Aiyuk,12,728,837,86.98,60.67,0.82,13.32,14.15,124.5,0.17
WR,MIA,DeVante Parker,14,726,932,77.9,51.86,0,14.19,14.19,103.3,0.14
WR,WAS,Cam Sims,17,711,1162,61.19,41.82,0.14,8.58,8.72,64.6,0.09
TE,LAR,Gerald Everett,18,710,1246,56.98,39.44,0.14,8.87,9.01,51.9,0.07
WR,NO,Tre'Quan Smith,15,707,1002,70.56,47.13,0.14,7.5,7.64,89.6,0.13
WR,JAX,DJ Chark Jr.,13,702,841,83.47,54,0,13.39,13.39,100.6,0.14
TE,BAL,Mark Andrews,16,700,1061,65.98,43.75,0,15.14,15.14,119,0.17
WR,SF,Kendrick Bourne,15,688,1037,66.35,45.87,0,10.76,10.76,80.7,0.12
RB,WAS,J.D. McKissic,17,679,1162,58.43,39.94,12.81,16.64,29.46,118.7,0.17
TE,NYJ,Chris Herndon,16,675,989,68.25,42.19,0,6.81,6.81,42.7,0.06
TE,CAR,Ian Thomas,16,674,1034,65.18,42.13,0,4.6,4.6,20.5,0.03
RB,MIN,Dalvin Cook,14,669,946,70.72,47.79,46.64,8.07,54.71,293.8,0.44
WR,NE,Jakobi Meyers,14,665,879,75.65,47.5,0.3,12.18,12.48,83.52,0.13
WR,NO,Emmanuel Sanders,16,658,1081,60.87,41.13,0.15,14.29,14.44,108.9,0.17
WR,CAR,Curtis Samuel,15,658,966,68.12,43.87,6.23,14.74,20.97,135.1,0.21
WR,NYJ,Breshad Perriman,12,651,722,90.17,54.25,0.15,9.06,9.22,69.1,0.11
TE,CHI,Jimmy Graham,17,649,1121,57.89,38.18,0,12.02,12.02,102.1,0.16
TE,CHI,Cole Kmet,17,645,1121,57.54,37.94,0.16,7.44,7.6,35.6,0.06
WR,BAL,Miles Boykin,18,644,1170,55.04,35.78,0,5.9,5.9,52.6,0.08
RB,JAX,James Robinson,14,641,917,69.9,45.79,37.44,9.36,46.8,201.4,0.31
TE,PHI,Zach Ertz,11,634,778,81.49,57.64,0,11.36,11.36,41.5,0.07
WR,BAL,Willie Snead IV,15,633,987,64.13,42.2,0,8.69,8.69,64.6,0.1
RB,PIT,James Conner,14,629,980,64.18,44.93,28.62,7.63,36.25,144.2,0.23
WR,BUF,John Brown,12,627,776,80.8,52.25,0,11.32,11.32,72.4,0.12
RB,DEN,Melvin Gordon III,15,627,1011,62.02,41.8,34.29,7.02,41.31,166.4,0.27
TE,NE,Ryan Izzo,12,626,782,80.05,52.17,0,3.19,3.19,17.9,0.03
TE,CLE,Harrison Bryant,17,625,1130,55.31,36.76,0,6.24,6.24,37.8,0.06
TE,MIA,Mike Gesicki,15,621,995,62.41,41.4,0,13.69,13.69,106.3,0.17
TE,BUF,Dawson Knox,15,620,1030,60.19,41.33,0,9.19,9.19,61.5,0.1
RB,LV,Josh Jacobs,15,616,1004,61.35,41.07,44.32,7.31,51.62,198.2,0.32
RB,ARI,Kenyan Drake,15,615,1062,57.91,41,38.86,5.04,43.9,167.2,0.27
WR,CLE,Rashard Higgins,15,609,973,62.59,40.6,0,10.84,10.84,93.5,0.15
RB,GB,Aaron Jones,16,608,1049,57.96,38,36.35,11.68,48.03,230.6,0.38
WR,CHI,Anthony Miller,17,608,1121,54.24,35.76,0.49,12.99,13.49,62.1,0.1
RB,KC,Clyde Edwards-Helaire,15,608,1058,57.47,40.53,32.24,9.87,42.11,155.4,0.26
RB,CLE,Kareem Hunt,18,606,1192,50.84,33.67,34.98,8.75,43.73,208,0.34
RB,PHI,Miles Sanders,12,602,848,70.99,50.17,27.24,8.64,35.88,142.4,0.24
TE,PHI,Dallas Goedert,11,602,786,76.59,54.73,0,10.8,10.8,70.4,0.12
TE,IND,Jack Doyle,15,597,1027,58.13,39.8,0,7.04,7.04,56.1,0.09
WR,NYJ,Jamison Crowder,12,593,746,79.49,49.42,0.17,15.01,15.18,113.02,0.19
WR,KC,Mecole Hardman,19,592,1310,45.19,31.16,1.01,12.67,13.68,97.1,0.16
TE,SEA,Will Dissly,17,591,1129,52.35,34.76,0,5.25,5.25,37.2,0.06
RB,TB,Leonard Fournette,17,587,1160,50.6,34.53,27.43,11.58,39.01,164.8,0.28
