Pos,Team,Name,G,Snaps,TeamSnaps,Snap%,Per Game,RushPerc,TargetP,TouchPerc,FP,FPPerSnap
WR,HOU,DeAndre Hopkins,16,1087,1124,96.71,67.94,0,13.89,13.89,119.4,0.11
WR,ARI,Larry Fitzgerald,16,1052,1151,91.4,65.75,0.1,14.35,14.45,136.9,0.13
WR,JAX,Allen Robinson,16,1047,1112,94.15,65.44,0,14.33,14.33,126.3,0.12
TE,CAR,Greg Olsen,16,1032,1108,93.14,64.5,0,12.5,12.5,127.3,0.12
WR,GB,Jordy Nelson,16,1015,1088,93.29,63.44,0,14.98,14.98,207.7,0.2
WR,CIN,Brandon LaFell,16,1010,1087,92.92,63.13,0.1,10.59,10.69,122,0.12
WR,NYG,Sterling Shepard,16,1005,1061,94.72,62.81,0.3,10.45,10.75,119.4,0.12
WR,NYG,Odell Beckham Jr,16,1002,1061,94.44,62.63,0.1,16.87,16.97,195.6,0.2
WR,OAK,Amari Cooper,16,997,1119,89.1,62.31,0.1,13.14,13.24,148.9,0.15
WR,PIT,Antonio Brown,15,975,1012,96.34,65,0.31,15.79,16.1,201.3,0.21
TE,MIN,Kyle Rudolph,16,970,1053,92.12,60.63,0,13.61,13.61,126,0.13
TE,CLE,Gary Barnidge,16,968,1030,93.98,60.5,0,8.37,8.37,75.2,0.08
RB,ARI,David Johnson,16,964,1151,83.75,60.25,30.39,12.45,42.84,327.8,0.34
WR,SD,Dontrelle Inman,16,960,1069,89.8,60,0,10.1,10.1,105,0.11
TE,DAL,Jason Witten,16,955,997,95.79,59.69,0,9.95,9.95,83.3,0.09
WR,IND,TY Hilton,16,947,1096,86.41,59.19,0,16.37,16.37,182.8,0.19
WR,GB,Davante Adams,16,915,1088,84.1,57.19,0,13.22,13.22,171.7,0.19
WR,TB,Mike Evans,16,904,1085,83.32,56.5,0,18.92,18.92,208.1,0.23
WR,NYJ,Brandon Marshall,15,901,981,91.85,60.07,0,14.32,14.32,96.7,0.11
WR,CLE,Terrelle Pryor,16,899,1030,87.28,56.19,0.89,15.57,16.46,136.44,0.15
WR,SEA,Doug Baldwin,16,896,1063,84.29,56,0.33,13.95,14.29,159.6,0.18
WR,SD,Tyrell Williams,16,893,1069,83.54,55.81,0,13.33,13.33,147.9,0.17
WR,MIA,Jarvis Landry,16,892,948,94.09,55.75,0.56,14.69,15.25,137.5,0.15
WR,DEN,Demaryius Thomas,16,889,1079,82.39,55.56,0,16.2,16.2,136.3,0.15
TE,KC,Travis Kelce,16,888,1024,86.72,55.5,0.11,13.18,13.29,138,0.16
WR,PHI,Nelson Agholor,15,883,1074,82.22,58.87,0.57,7.81,8.38,51.9,0.06
WR,NO,Brandin Cooks,16,880,1151,76.46,55,0.68,13.3,13.98,168.3,0.19
WR,DET,Marvin Jones,15,879,967,90.9,58.6,0.11,11.72,11.83,117.3,0.13
WR,NE,Julian Edelman,16,877,1121,78.23,54.81,1.37,18.24,19.61,132.3,0.15
WR,NYJ,Quincy Enunwa,16,873,1043,83.7,54.56,0.23,12.03,12.26,111.8,0.13
WR,BAL,Mike Wallace,16,872,1134,76.9,54.5,0.57,13.42,13.99,130.8,0.15
TE,BUF,Charles Clay,15,871,992,87.8,58.07,0,9.99,9.99,79.2,0.09
TE,NE,Martellus Bennett,16,870,1121,77.61,54.38,0.23,8.39,8.62,113.1,0.13
WR,DEN,Emmanuel Sanders,16,868,1079,80.44,54.25,0.12,15.78,15.9,133.6,0.15
WR,DET,Golden Tate,16,866,1037,83.51,54.13,1.15,15.59,16.74,132.1,0.15
WR,NO,Michael Thomas,15,865,1090,79.36,57.67,0,13.99,13.99,163.7,0.19
RB,TEN,DeMarco Murray,16,861,1063,81,53.81,34.03,7.78,41.81,240.8,0.28
TE,PIT,Jesse James,16,855,1083,78.95,53.44,0,7.02,7.02,51.8,0.06
TE,PHI,Zach Ertz,14,851,996,85.44,60.79,0,11.52,11.52,95.9,0.11
WR,PHI,Jordan Matthews,14,844,977,86.39,60.29,0.12,13.86,13.98,98.5,0.12
WR,OAK,Michael Crabtree,16,835,1119,74.62,52.19,0,17.37,17.37,150.3,0.18
