Pos,Team,Name,G,Snaps,TeamSnaps,Snap%,Per Game,RushPerc,TargetP,TouchPerc,FP,FPPerSnap
TE,SD,Antonio Gates,16,771,1068,72.19,48.19,0,12.71,12.71,154.1,0.2
TE,TEN,Delanie Walker,15,769,926,83.05,51.27,0,13.78,13.78,113,0.15
WR,TB,Mike Evans,15,769,931,82.6,51.27,0,15.99,15.99,177.1,0.23
WR,TEN,Nate Washington,16,765,966,79.19,47.81,0,9.41,9.41,76.7,0.1
WR,PHI,Jordan Matthews,16,764,1176,64.97,47.75,0,13.48,13.48,135.2,0.18
WR,SD,Eddie Royal,16,761,1068,71.25,47.56,0.39,11.96,12.35,119.2,0.16
WR,WAS,DeSean Jackson,15,755,998,75.65,50.33,0.53,12.58,13.11,153.6,0.2
WR,CHI,Brandon Marshall,13,753,873,86.25,57.92,0,14.08,14.08,118.1,0.16
TE,BUF,Scott Chandler,16,749,1062,70.53,46.81,0,9.35,9.35,67.7,0.09
WR,PIT,Markus Wheaton,16,747,1113,67.12,46.69,0.54,11.51,12.05,78.3,0.1
TE,MIA,Charles Clay,14,745,974,76.49,53.21,0,11.28,11.28,78.5,0.11
WR,DEN,Wes Welker,14,743,1005,73.93,53.07,0,8.61,8.61,58.4,0.08
WR,JAX,Cecil Shorts,13,741,858,86.36,57,0,14.84,14.84,64.98,0.09
WR,GB,Davante Adams,16,738,1050,70.29,46.13,0,8.94,8.94,62.6,0.08
WR,NYJ,Jeremy Kerley,16,734,1088,67.46,45.88,0.54,10.22,10.76,55.5,0.08
TE,ARI,John Carlson,16,734,1059,69.31,45.88,0,7.49,7.49,43,0.06
WR,SF,Michael Crabtree,16,722,1058,68.24,45.13,0.14,14.96,15.1,94.2,0.13
WR,OAK,James Jones,16,717,1029,69.68,44.81,0,15.48,15.48,100.6,0.14
WR,OAK,Andre Holmes,16,714,1029,69.39,44.63,0,13.87,13.87,93.3,0.13
WR,DET,Jeremy Ross,16,709,1093,64.87,44.31,0.28,4.94,5.22,33.3,0.05
RB,BAL,Justin Forsett,16,707,1076,65.71,44.19,33.24,8.35,41.58,202.9,0.29
RB,SEA,Marshawn Lynch,16,704,1057,66.6,44,39.77,6.82,46.59,265.3,0.38
WR,DET,Calvin Johnson,13,695,878,79.16,53.46,0,18.42,18.42,155.7,0.22
WR,WAS,Andre Roberts,16,693,1054,65.75,43.31,0.29,10.53,10.82,55.4,0.08
TE,DEN,Julius Thomas,13,691,916,75.44,53.15,0,8.97,8.97,120.9,0.17
RB,GB,Eddie Lacy,16,687,1050,65.43,42.94,35.81,8.01,43.81,230.6,0.34
TE,LAR,Jared Cook,16,686,1004,68.33,42.88,0.15,14.43,14.58,81.4,0.12
WR,MIA,Jarvis Landry,16,683,1095,62.37,42.69,0.29,16.4,16.69,97.4,0.14
TE,KC,Anthony Fasano,15,671,959,69.97,44.73,0,5.37,5.37,46.6,0.07
TE,KC,Travis Kelce,16,668,1007,66.34,41.75,0,13.02,13.02,116.2,0.17
WR,TEN,Kendall Wright,14,662,840,78.81,47.29,0.6,14.05,14.65,110.9,0.17
WR,ARI,John Brown,16,653,1059,61.66,40.81,0.46,15.77,16.23,99,0.15
RB,KC,Jamaal Charles,15,650,935,69.52,43.33,31.69,9.08,40.77,210.4,0.32
WR,CIN,AJ Green,13,648,857,75.61,49.85,0.31,17.9,18.21,136.3,0.21
WR,CLE,Andrew Hawkins,15,648,975,66.46,43.2,0.46,17.28,17.75,96,0.15
RB,SF,Frank Gore,16,647,1058,61.15,40.44,39.41,2.94,42.35,147.4,0.23
RB,MIA,Lamar Miller,16,642,1095,58.63,40.13,33.64,8.1,41.74,185.4,0.29
TE,GB,Andrew Quarless,16,630,1050,60,39.38,0,7.3,7.3,50.3,0.08
RB,HOU,Arian Foster,13,621,891,69.7,47.77,41.87,9.5,51.37,235.5,0.38
TE,IND,Dwayne Allen,13,619,964,64.21,47.62,0,8.08,8.08,87.5,0.14
WR,NO,Kenny Stills,15,617,1065,57.93,41.13,0.16,13.45,13.61,110.9,0.18
RB,DET,Joique Bell,15,615,1031,59.65,41,36.26,8.62,44.88,164.2,0.27
WR,CLE,Taylor Gabriel,16,611,1051,58.14,38.19,0.49,11.95,12.44,69.1,0.11
TE,CLE,Jim Dray,16,599,1051,56.99,37.44,0,4.51,4.51,30.2,0.05
RB,WAS,Alfred Morris,16,595,1054,56.45,37.19,44.54,4.37,48.91,170.9,0.29
RB,NE,Shane Vereen,16,595,1131,52.61,37.19,16.13,13.11,29.24,113.8,0.19
TE,LAR,Lance Kendricks,16,594,1004,59.16,37.13,0,6.4,6.4,55.9,0.09
