Pos,Team,Name,G,Snaps,TeamSnaps,Snap%,Per Game,RushPerc,TargetP,TouchPerc,FP,FPPerSnap
WR,ARI,Larry Fitzgerald,16,1074,1124,95.55,67.13,0,14.99,14.99,152.44,0.14
WR,NE,Brandin Cooks,16,1058,1141,92.73,66.13,0.85,10.78,11.63,156.2,0.15
TE,DAL,Jason Witten,16,1050,1068,98.31,65.63,0,8.29,8.29,84,0.08
WR,MIN,Adam Thielen,16,1034,1118,92.49,64.63,0.1,13.83,13.93,148.8,0.14
WR,HOU,DeAndre Hopkins,15,1027,1047,98.09,68.47,0,16.94,16.94,213.8,0.21
WR,DET,Marvin Jones,16,1005,1044,96.26,62.81,0,10.65,10.65,164.1,0.16
RB,PIT,Le'Veon Bell,15,945,1049,90.09,63,33.97,11.22,45.19,256.6,0.27
WR,MIA,Kenny Stills,16,942,1040,90.58,58.88,0,11.15,11.15,116.7,0.12
WR,MIA,Jarvis Landry,16,932,1040,89.62,58.25,0.11,17.27,17.38,148,0.16
WR,PHI,Alshon Jeffery,16,927,1131,81.96,57.94,0,12.94,12.94,138.9,0.15
WR,IND,TY Hilton,16,926,1030,89.9,57.88,0,11.77,11.77,118.6,0.13
TE,MIN,Kyle Rudolph,16,924,1118,82.65,57.75,0,8.77,8.77,101.2,0.11
TE,IND,Jack Doyle,15,909,954,95.28,60.6,0,11.88,11.88,89,0.1
TE,PIT,Jesse James,16,907,1108,81.86,56.69,0,7.06,7.06,55.2,0.06
TE,NE,Rob Gronkowski,14,905,1006,89.96,64.64,0,11.6,11.6,158.4,0.18
WR,LAC,Keenan Allen,16,897,1064,84.3,56.06,0.22,17.73,17.95,182.2,0.2
TE,JAX,Marcedes Lewis,16,895,1133,78.99,55.94,0,5.36,5.36,63.8,0.07
WR,DAL,Dez Bryant,16,894,1068,83.71,55.88,0.11,14.77,14.88,117.4,0.13
WR,PIT,Antonio Brown,14,888,988,89.88,63.43,0,18.24,18.24,209.3,0.24
WR,DEN,Demaryius Thomas,16,886,1125,78.76,55.38,0,15.8,15.8,122.9,0.14
WR,TB,Mike Evans,15,884,1023,86.41,58.93,0,15.38,15.38,132.1,0.15
WR,NYJ,Jermaine Kearse,16,880,1038,84.78,55,0,11.59,11.59,111,0.13
TE,CAR,Ed Dickson,16,875,1079,81.09,54.69,0,5.49,5.49,49.7,0.06
TE,KC,Travis Kelce,15,875,966,90.58,58.33,0.23,13.94,14.17,150.5,0.17
WR,CIN,Brandon LaFell,16,863,967,89.25,53.94,0,10.31,10.31,72.8,0.08
WR,CIN,AJ Green,16,857,967,88.62,53.56,0,16.69,16.69,151.8,0.18
WR,SEA,Doug Baldwin,16,855,1068,80.06,53.44,0.23,13.57,13.8,146.3,0.17
WR,CAR,Devin Funchess,16,853,1079,79.05,53.31,0,13.13,13.13,132,0.15
WR,LAC,Tyrell Williams,16,852,1064,80.08,53.25,0,8.1,8.1,94.8,0.11
WR,NO,Michael Thomas,16,851,1039,81.91,53.19,0,17.51,17.51,154.5,0.18
TE,CIN,Tyler Kroft,16,829,967,85.73,51.81,0,7.48,7.48,82.4,0.1
WR,SEA,Paul Richardson,16,816,1068,76.4,51,0,9.8,9.8,106.3,0.13
WR,PHI,Nelson Agholor,16,813,1131,71.88,50.81,0.12,11.69,11.81,131.5,0.16
WR,NYJ,Robby Anderson,16,812,1038,78.23,50.75,0.37,14.04,14.41,137,0.17
WR,GB,Jordy Nelson,15,806,979,82.33,53.73,0,10.92,10.92,84.2,0.1
TE,WAS,Vernon Davis,16,803,1017,78.96,50.19,0,8.47,8.47,78.8,0.1
TE,OAK,Jared Cook,16,796,1013,78.58,49.75,0,10.8,10.8,78.7,0.1
RB,LAR,Todd Gurley,15,796,976,81.56,53.07,35.05,10.93,45.98,319.3,0.4
WR,BUF,Zay Jones,15,793,1007,78.75,52.87,0,9.33,9.33,43.6,0.05
WR,DET,Golden Tate,16,791,1044,75.77,49.44,0.63,15.17,15.8,132.5,0.17
TE,ATL,Austin Hooper,16,787,1026,76.71,49.19,0,8.26,8.26,70.6,0.09
RB,SF,Carlos Hyde,16,786,1104,71.2,49.13,30.53,11.2,41.73,174.8,0.22
WR,MIN,Stefon Diggs,14,781,975,80.1,55.79,1.02,12.16,13.19,134.2,0.17
WR,KC,Tyreek Hill,15,779,966,80.64,51.93,2.18,13.48,15.66,164.2,0.21
WR,LAR,Sammy Watkins,15,778,976,79.71,51.87,0,9,9,107.3,0.14
TE,PHI,Zach Ertz,14,778,971,80.12,55.57,0,14.14,14.14,128.4,0.17
TE,NYG,Evan Engram,15,777,1006,77.24,51.8,0.13,14.8,14.93,109.6,0.14
WR,GB,Davante Adams,14,776,912,85.09,55.43,0,15.21,15.21,148.5,0.19
WR,SF,Marquise Goodwin,16,771,1104,69.84,48.19,0.52,13.62,14.14,112.6,0.15
WR,ARI,Jaron Brown,16,767,1124,68.24,47.94,0,9,9,71.7,0.09
WR,ATL,Julio Jones,16,766,1026,74.66,47.88,0.13,19.32,19.45,163.9,0.21
RB,HOU,Lamar Miller,16,757,1102,68.69,47.31,31.44,5.94,37.38,157.5,0.21
RB,CAR,Christian McCaffrey,16,757,1079,70.16,47.31,15.46,14.93,30.38,148.6,0.2
WR,WAS,Josh Doctson,16,756,1017,74.34,47.25,0.13,10.32,10.45,84.8,0.11
WR,ATL,Mohamed Sanu,15,756,969,78.02,50.4,0.53,12.7,13.23,107.34,0.14
WR,JAX,Keelan Cole,16,755,1133,66.64,47.19,0,10.99,10.99,90.8,0.12
WR,OAK,Seth Roberts,15,752,948,79.32,50.13,0,8.64,8.64,47.5,0.06
RB,LAC,Melvin Gordon,16,750,1064,70.49,46.88,37.87,11.07,48.93,230.1,0.31
TE,ARI,Jermaine Gresham,14,750,973,77.08,53.57,0,6.13,6.13,44.2,0.06
WR,TEN,Rishard Matthews,14,746,912,81.8,53.29,0.13,11.66,11.8,103.2,0.14
TE,TEN,Delanie Walker,16,744,1024,72.66,46.5,0.27,14.92,15.19,100.5,0.14
WR,LAR,Cooper Kupp,15,742,976,76.02,49.47,0,12.67,12.67,114.9,0.15
WR,GB,Randall Cobb,15,741,977,75.84,49.4,1.21,12.42,13.63,93.4,0.13
WR,JAX,Marqise Lee,14,738,983,75.08,52.71,0.14,13.01,13.14,91.9,0.12
WR,TEN,Eric Decker,16,736,1024,71.88,46,0,11.28,11.28,62.3,0.08
