Pos,Team,Name,G,Snaps,TeamSnaps,Snap%,Per Game,RushPerc,TargetP,TouchPerc,FP,FPPerSnap
WR,DEN,Demaryius Thomas,16,1106,1207,91.63,69.13,0,12.84,12.84,227,0.21
WR,BAL,Torrey Smith,16,1098,1136,96.65,68.63,0,12.48,12.48,138.8,0.13
WR,GB,Jordy Nelson,16,1083,1122,96.52,67.69,0,11.73,11.73,179.4,0.17
WR,CIN,AJ Green,16,1055,1132,93.2,65.94,0,16.87,16.87,208.6,0.2
WR,DEN,Eric Decker,16,1050,1207,86.99,65.63,0,12.95,12.95,192.8,0.18
WR,NE,Julian Edelman,16,1021,1197,85.3,63.81,0.2,14.79,14.99,146.7,0.14
TE,ATL,Tony Gonzalez,16,1003,1077,93.13,62.69,0,12.06,12.06,135.9,0.14
TE,CAR,Greg Olsen,16,1000,1029,97.18,62.5,0,11.1,11.1,117.6,0.12
WR,ARI,Larry Fitzgerald,16,998,1084,92.07,62.38,0.2,13.53,13.73,154.2,0.15
WR,HOU,DeAndre Hopkins,16,995,1121,88.76,62.19,0,9.15,9.15,90.2,0.09
WR,HOU,Andre Johnson,16,994,1121,88.67,62.13,0,18.21,18.21,170.7,0.17
WR,PHI,DeSean Jackson,16,987,1103,89.48,61.69,0.3,12.77,13.07,187.4,0.19
WR,CHI,Brandon Marshall,16,987,1057,93.38,61.69,0,16.62,16.62,205.5,0.21
TE,DAL,Jason Witten,16,984,997,98.7,61.5,0,11.28,11.28,133.1,0.14
WR,PHI,Riley Cooper,16,980,1103,88.85,61.25,0,8.47,8.47,137.3,0.14
WR,WAS,Pierre Garcon,16,978,1144,85.49,61.13,0.2,18.61,18.81,164.5,0.17
WR,TB,Vincent Jackson,16,969,1036,93.53,60.56,0.1,16.51,16.62,164.4,0.17
TE,CLE,Jordan Cameron,15,969,1041,93.08,64.6,0,12.18,12.18,133.7,0.14
TE,SD,Antonio Gates,16,968,1110,87.21,60.5,0,11.67,11.67,107.2,0.11
WR,CHI,Alshon Jeffery,16,962,1057,91.01,60.13,1.66,15.49,17.15,194.6,0.2
WR,PIT,Antonio Brown,16,955,1052,90.78,59.69,0.73,17.38,18.12,198.9,0.21
TE,CHI,Martellus Bennett,16,952,1057,90.07,59.5,0,9.87,9.87,103.9,0.11
WR,DET,Kris Durham,16,951,1135,83.79,59.44,0,8.94,8.94,59,0.06
WR,MIA,Mike Wallace,16,951,1027,92.6,59.44,0.32,14.83,15.14,126.3,0.13
WR,SD,Keenan Allen,15,944,1057,89.31,62.93,0,11.02,11.02,148.6,0.16
WR,CLE,Greg Little,16,940,1106,84.99,58.75,0,10.53,10.53,58.5,0.06
WR,DAL,Dez Bryant,16,933,997,93.58,58.31,0.11,17.04,17.15,199.4,0.21
WR,ARI,Michael Floyd,16,930,1084,85.79,58.13,0,11.94,11.94,134.1,0.14
RB,CHI,Matt Forte,16,928,1057,87.8,58,31.03,10.24,41.27,263.3,0.28
WR,ATL,Harry Douglas,16,926,1077,85.98,57.88,0,14.25,14.25,114.7,0.12
TE,BUF,Scott Chandler,16,918,1161,79.07,57.38,0,8.82,8.82,75.5,0.08
WR,SD,Vincent Brown,16,917,1110,82.61,57.31,0,7.52,7.52,53.2,0.06
WR,BUF,Robert Woods,14,910,1027,88.61,65,0.22,9.34,9.56,80.3,0.09
WR,MIA,Brian Hartline,16,907,1027,88.32,56.69,0,14.77,14.77,125.6,0.14
WR,CAR,Brandon LaFell,16,907,1029,88.14,56.69,0.22,9.37,9.59,94.2,0.1
TE,DET,Brandon Pettigrew,14,903,990,91.21,64.5,0,6.98,6.98,51.6,0.06
TE,PIT,Heath Miller,14,902,942,95.75,64.43,0,8.65,8.65,63.3,0.07
TE,DEN,Julius Thomas,14,901,1047,86.06,64.36,0,9.99,9.99,150.8,0.17
WR,CLE,Josh Gordon,14,899,966,93.06,64.21,0.56,17.69,18.24,227.4,0.25
WR,DET,Calvin Johnson,14,892,1008,88.49,63.71,0,17.49,17.49,219.2,0.25
TE,CIN,Jermaine Gresham,14,891,975,91.38,63.64,0,7.63,7.63,64.1,0.07
WR,TEN,Nate Washington,16,887,1075,82.51,55.44,0,11.84,11.84,109.9,0.12
RB,PHI,LeSean McCoy,16,872,1103,79.06,54.5,36.01,7.34,43.35,278.6,0.32
TE,MIA,Charles Clay,16,855,1027,83.25,53.44,0.82,11.93,12.75,119.4,0.14
TE,NYG,Brandon Myers,16,848,1026,82.65,53,0,8.96,8.96,76.2,0.09
WR,GB,James Jones,14,847,975,86.87,60.5,0,10.98,10.98,97.7,0.12
RB,KC,Jamaal Charles,15,845,1007,83.91,56.33,30.65,12.31,42.96,308,0.36
TE,PHI,Brent Celek,16,844,1103,76.52,52.75,0,6.04,6.04,84.2,0.1
WR,KC,Dwayne Bowe,15,837,1007,83.12,55.8,0,12.31,12.31,97.3,0.12
WR,NYG,Hakeem Nicks,15,833,959,86.86,55.53,0,12.12,12.12,89.6,0.11
WR,BUF,TJ Graham,16,823,1161,70.89,51.44,0.49,7.05,7.53,47.5,0.06
TE,IND,Coby Fleener,16,816,1070,76.26,51,0,10.66,10.66,88.8,0.11
TE,SF,Vernon Davis,15,811,938,86.46,54.07,0,10.36,10.36,161,0.2
TE,WAS,Logan Paulsen,16,809,1144,70.72,50.56,0,6.18,6.18,40.7,0.05
WR,TEN,Kendall Wright,16,807,1075,75.07,50.44,0,17.22,17.22,119.9,0.15
WR,SF,Anquan Boldin,16,804,991,81.13,50.25,0.25,16.04,16.29,161,0.2
RB,TEN,Chris Johnson,16,798,1075,74.23,49.88,34.96,6.52,41.48,198.2,0.25
WR,PIT,Emmanuel Sanders,16,797,1052,75.76,49.81,0.13,14.05,14.18,114.5,0.14
WR,BAL,Marlon Brown,14,790,981,80.53,56.43,0.13,10.38,10.51,96.2,0.12
WR,PHI,Jason Avant,16,789,1103,71.53,49.31,0,9.63,9.63,54.7,0.07
WR,NYG,Victor Cruz,14,785,892,88,56.07,0,15.54,15.54,121.8,0.16
WR,ATL,Roddy White,13,782,898,87.08,60.15,0,12.4,12.4,87.1,0.11
WR,LAR,Chris Givens,16,779,1004,77.59,48.69,0.39,10.65,11.04,55.7,0.07
TE,HOU,Garrett Graham,13,772,930,83.01,59.38,0,11.53,11.53,82.5,0.11
WR,CAR,Steve Smith,15,770,971,79.3,51.33,0,14.29,14.29,98.5,0.13
WR,DEN,Wes Welker,13,770,1001,76.92,59.23,0,14.42,14.42,135.8,0.18
WR,SEA,Golden Tate,16,762,1012,75.3,47.63,0.39,12.99,13.39,122.9,0.16
TE,TEN,Delanie Walker,15,762,1025,74.34,50.8,0,11.29,11.29,93.1,0.12
WR,JAX,Cecil Shorts,13,760,854,88.99,58.46,0,16.18,16.18,95.7,0.13
WR,IND,TY Hilton,16,759,1070,70.93,47.44,0.26,18.18,18.45,138.9,0.18
TE,NO,Jimmy Graham,16,754,1127,66.9,47.13,0,18.83,18.83,217.5,0.29
WR,NO,Marques Colston,15,750,1053,71.23,50,0,14.8,14.8,124.3,0.17
WR,CIN,Mohamed Sanu,16,750,1132,66.25,46.88,0.53,10.27,10.8,58.1,0.08
WR,SEA,Doug Baldwin,16,749,1012,74.01,46.81,0.27,9.75,10.01,108.4,0.14
WR,OAK,Rod Streater,16,748,1036,72.2,46.75,0.27,13.24,13.5,112.5,0.15
RB,SF,Frank Gore,16,744,991,75.08,46.5,37.1,3.49,40.59,174.9,0.24
WR,MIN,Greg Jennings,15,742,967,76.73,49.47,0,14.29,14.29,104.4,0.14
TE,SEA,Zach Miller,14,717,875,81.94,51.21,0,7.81,7.81,68.7,0.1
TE,LAR,Jared Cook,16,717,1004,71.41,44.81,0,11.85,11.85,95.1,0.13
RB,SEA,Marshawn Lynch,16,711,1012,70.26,44.44,42.33,6.19,48.52,239.3,0.34
WR,KC,Donnie Avery,16,706,1079,65.43,44.13,0.28,10.06,10.34,70.2,0.1
RB,DEN,Knowshon Moreno,16,703,1207,58.24,43.94,34.28,10.53,44.81,236.6,0.34
WR,SD,Eddie Royal,15,703,1045,67.27,46.87,0.43,9.53,9.96,111.2,0.16
RB,BAL,Ray Rice,15,703,1073,65.52,46.87,30.44,10.38,40.83,120.1,0.17
WR,BUF,Steve Johnson,12,701,877,79.93,58.42,0.14,14.41,14.55,78.7,0.11
TE,GB,Andrew Quarless,16,693,1122,61.76,43.31,0,7.65,7.65,43.2,0.06
WR,NO,Kenny Stills,16,690,1127,61.22,43.13,0.43,7.25,7.68,95.1,0.14
TE,NE,Michael Hoomanawanui,13,688,957,71.89,52.92,0,2.76,2.76,19.6,0.03
TE,ARI,Jim Dray,16,686,1084,63.28,42.88,0,4.66,4.66,31.5,0.05
RB,GB,Eddie Lacy,15,679,1041,65.23,45.27,41.83,6.48,48.31,207.5,0.31
WR,DAL,Terrance Williams,16,678,997,68,42.38,0.44,10.91,11.36,102,0.15
RB,PIT,Le'Veon Bell,13,677,876,77.28,52.08,36.04,9.75,45.79,171.9,0.25
TE,NYJ,Jeff Cumberland,15,675,990,68.18,45,0,5.93,5.93,63.8,0.09
RB,MIN,Adrian Peterson,14,674,908,74.23,48.14,41.39,5.93,47.33,203.7,0.3
TE,CIN,Tyler Eifert,15,673,1064,63.25,44.87,0,8.92,8.92,56.5,0.08
RB,DAL,DeMarco Murray,14,671,863,77.75,47.93,32.34,9.84,42.18,205.1,0.31
WR,GB,Jarrett Boykin,16,663,1122,59.09,41.44,0,12.52,12.52,92.1,0.14
