,Rk,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
0,1,2018,Jordan Thomas,TE,21,2,Mississippi State,6-5,265,4.74,27.0,16.0,111.0,7.5,4.75,Houston Texans / 6th / 211th pick / 2018
1,2,2018,Ian Thomas,TE,21,4,Indiana,6-4,259,4.74,36.0,,123.0,7.15,4.2,Carolina Panthers / 4th / 101st pick / 2018
2,3,2018,Durham Smythe,TE,22,0,Notre Dame,6-5,253,4.81,31.0,18.0,110.0,7.17,4.23,Miami Dolphins / 4th / 123rd pick / 2018
3,4,2018,Dalton Schultz,TE,21,1,Stanford,6-5,244,4.75,32.0,15.0,120.0,7.0,4.4,Dallas Cowboys / 4th / 137th pick / 2018
4,5,2018,Jaylen Samuels,TE,21,6,North Carolina State,5-11,225,4.54,34.5,18.0,121.0,6.93,4.28,Pittsburgh Steelers / 5th / 165th pick / 2018
5,6,2018,Ryan Izzo,TE,22,1,Florida State,6-5,256,4.94,33.0,18.0,110.0,7.15,4.43,New England Patriots / 7th / 250th pick / 2018
6,7,2018,Hayden Hurst,TE,24,6,South Carolina,6-4,250,4.67,31.5,,120.0,7.19,4.37,Baltimore Ravens / 1st / 25th pick / 2018
7,8,2018,Dallas Goedert,TE,23,8,South Dakota State,6-5,256,,,23.0,,,,Philadelphia Eagles / 2nd / 49th pick / 2018
8,9,2018,Mike Gesicki,TE,22,6,Penn State,6-5,247,4.54,41.5,22.0,129.0,6.76,4.1,Miami Dolphins / 2nd / 42nd pick / 2018
9,10,2018,Troy Fumagalli,TE,23,0,Wisconsin,6-5,247,,,14.0,,,,Denver Broncos / 5th / 156th pick / 2018
10,11,2018,Will Dissly,TE,21,4,Washington,6-4,262,4.87,28.0,15.0,111.0,7.07,4.4,Seattle Seahawks / 4th / 120th pick / 2018
11,12,2018,Tyler Conklin,TE,22,2,Central Michigan,6-3,254,4.8,38.0,18.0,120.0,7.13,4.23,Minnesota Vikings / 5th / 157th pick / 2018
12,13,2018,Mark Andrews,TE,21,17,Oklahoma,6-5,256,4.67,31.0,17.0,113.0,7.34,4.38,Baltimore Ravens / 3rd / 86th pick / 2018
13,14,2018,Jordan Akins,TE,25,6,Central Florida,6-3,249,,,,,,,Houston Texans / 3rd / 98th pick / 2018
