,Rk,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
0,1,2005,Troy Williamson,WR,21,8,South Carolina,6-1,203,4.32,,,,6.99,,Minnesota Vikings / 1st / 7th pick / 2005
1,2,2005,Mike Williams,WR,21,13,USC,6-5,229,4.56,36.5,,,,,Detroit Lions / 1st / 10th pick / 2005
2,3,2005,Roddy White,WR,23,107,Ala-Birmingham,6-1,207,4.46,,,,,,Atlanta Falcons / 1st / 27th pick / 2005
3,4,2005,Paris Warren,WR,22,0,Utah,6-0,219,4.71,31.5,,,,,Tampa Bay Buccaneers / 7th / 225th pick / 2005
4,5,2005,Craphonso Thorpe,WR,21,1,Florida State,6-1,188,4.38,,,,,,Kansas City Chiefs / 4th / 116th pick / 2005
5,6,2005,Courtney Roby,WR,22,3,Indiana,6-0,189,4.41,36.5,,126.0,6.6,3.94,Tennessee Titans / 3rd / 68th pick / 2005
6,7,2005,Jamaica Rector,WR,23,0,Northwest Missouri State,5-10,186,4.47,36.5,,122.0,6.78,4.13,
7,8,2005,Tab Perry,WR,23,1,UCLA,6-2,229,4.46,34.0,,116.0,7.0,,Cincinnati Bengals / 6th / 190th pick / 2005
8,9,2005,Roscoe Parrish,WR,22,15,Miami (FL),5-10,168,4.37,,,,,,Buffalo Bills / 2nd / 55th pick / 2005
9,10,2005,Chad Owens,WR,22,0,Hawaii,5-7,183,4.62,37.0,,116.0,6.7,3.94,Jacksonville Jaguars / 6th / 185th pick / 2005
10,11,2005,Terrence Murphy,WR,22,0,Texas A&M,6-1,202,4.39,,,,,,Green Bay Packers / 2nd / 58th pick / 2005
11,12,2005,Lance Moore,WR,21,45,Toledo,5-9,177,4.52,,,,,,
12,13,2005,Leron McCoy,WR,23,1,Indiana (PA),6-1,211,4.4,37.0,,120.0,7.19,4.21,Arizona Cardinals / 7th / 226th pick / 2005
13,14,2005,Jerome Mathis,WR,21,4,Kansas State,5-11,181,4.28,35.5,,123.0,,,Houston Texans / 4th / 114th pick / 2005
14,15,2005,Rasheed Marshall,WR,23,0,West Virginia,6-0,185,4.51,38.0,,121.0,6.81,3.95,San Francisco 49ers / 5th / 174th pick / 2005
15,16,2005,Brandon Jones,WR,22,13,Oklahoma,6-1,210,4.42,37.0,,114.0,7.03,4.08,Tennessee Titans / 3rd / 96th pick / 2005
16,17,2005,Vincent Jackson,WR,22,92,Northern Colorado,6-5,241,4.46,39.0,,,,,San Diego Chargers / 2nd / 61st pick / 2005
17,18,2005,Chris Henry,WR,21,17,West Virginia,6-4,197,4.5,,,,,,Cincinnati Bengals / 3rd / 83rd pick / 2005
18,19,2005,Braylon Edwards,WR,22,47,Michigan,6-3,211,4.45,,,,,,Cleveland Browns / 1st / 3rd pick / 2005
19,20,2005,Airese Currie,WR,22,0,Clemson,5-10,186,4.49,38.0,,125.0,7.05,4.07,Chicago Bears / 5th / 140th pick / 2005
20,21,2005,Mark Clayton,WR,22,30,Oklahoma,5-10,193,4.41,36.5,,118.0,6.95,4.07,Baltimore Ravens / 1st / 22nd pick / 2005
21,22,2005,Reggie Brown,WR,24,21,Georgia,6-2,196,4.45,41.5,,128.0,6.99,3.94,Philadelphia Eagles / 2nd / 35th pick / 2005
22,23,2005,Mark Bradley,WR,23,11,Oklahoma,6-1,201,4.37,39.5,,128.0,6.96,3.98,Chicago Bears / 2nd / 39th pick / 2005
