,Rk,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
0,1,2005,Andrew Walter,QB,22,1,Arizona State,6-6,233,4.86,,,,,,Oakland Raiders / 3rd / 69th pick / 2005
1,2,2005,Alex Smith,QB,20,118,Utah,6-4,217,4.71,32.0,,113.0,6.82,3.96,San Francisco 49ers / 1st / 1st pick / 2005
2,3,2005,Aaron Rodgers,QB,21,184,California,6-2,223,4.71,34.5,,110.0,7.38,,Green Bay Packers / 1st / 24th pick / 2005
3,4,2005,Kyle Orton,QB,22,45,Purdue,6-4,233,5.06,26.5,,,7.38,4.52,Chicago Bears / 4th / 106th pick / 2005
4,5,2005,Dan Orlovsky,QB,21,7,Connecticut,6-5,225,4.93,29.5,,107.0,7.33,4.39,Detroit Lions / 5th / 145th pick / 2005
5,6,2005,Charlie Frye,QB,23,8,Akron,6-4,225,4.79,33.0,,113.0,6.94,4.08,Cleveland Browns / 3rd / 67th pick / 2005
6,7,2005,Ryan Fitzpatrick,QB,22,96,Harvard,6-2,232,4.86,30.5,,105.0,7.09,4.07,St. Louis Rams / 7th / 250th pick / 2005
7,8,2005,Jason Campbell,QB,23,53,Auburn,6-5,230,4.71,,,,,,Washington Redskins / 1st / 25th pick / 2005
8,9,2005,Brock Berlin,QB,23,0,Miami (FL),6-1,221,4.83,29.0,,109.0,7.49,4.54,
9,10,2005,Derek Anderson,QB,21,22,Oregon State,6-6,242,5.03,29.0,,103.0,7.67,4.62,Baltimore Ravens / 6th / 213th pick / 2005
