,Rk,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
0,1,2005,Cadillac Williams,RB,22,29,Auburn,5-11,217,4.43,35.5,19.0,118.0,6.94,4.15,Tampa Bay Buccaneers / 1st / 5th pick / 2005
1,2,2005,Darren Sproles,RB,21,80,Kansas State,5-6,187,4.47,33.0,23.0,105.0,6.96,3.96,San Diego Chargers / 4th / 130th pick / 2005
2,3,2005,Eric Shelton,RB,21,0,Louisville,6-1,246,4.53,38.5,,124.0,7.44,4.08,Carolina Panthers / 2nd / 54th pick / 2005
3,4,2005,Alvin Pearman,RB,22,5,Virginia,5-9,208,4.63,34.0,24.0,114.0,7.06,4.08,Jacksonville Jaguars / 4th / 127th pick / 2005
4,5,2005,Vernand Morency,RB,25,8,Oklahoma State,5-10,212,4.66,33.5,19.0,108.0,7.02,4.12,Houston Texans / 3rd / 73rd pick / 2005
5,6,2005,Ryan Moats,RB,22,7,Louisiana Tech,5-8,210,4.46,36.0,19.0,117.0,7.22,4.1,Philadelphia Eagles / 3rd / 77th pick / 2005
6,7,2005,Brandon Jacobs,RB,22,41,Southern Illinois,6-4,267,4.56,37.0,19.0,118.0,7.53,4.46,New York Giants / 4th / 110th pick / 2005
7,8,2005,Cedric Houston,RB,22,5,Tennessee,5-11,225,4.61,,,,,,New York Jets / 6th / 182nd pick / 2005
8,9,2005,Noah Herron,RB,22,3,Northwestern,5-11,224,4.6,31.0,17.0,108.0,6.95,3.97,Pittsburgh Steelers / 7th / 244th pick / 2005
9,10,2005,Alex Haynes,RB,23,0,Central Florida,5-10,223,4.51,32.5,21.0,,,,
10,11,2005,Kay-Jay Harris,RB,25,0,West Virginia,6-0,241,4.56,38.0,,122.0,7.2,4.1,
11,12,2005,Ryan Grant,RB,22,38,Notre Dame,6-1,215,4.43,33.5,17.0,115.0,7.08,4.12,
12,13,2005,Frank Gore,RB,21,129,Miami (FL),5-9,217,4.58,,,,,,San Francisco 49ers / 3rd / 65th pick / 2005
13,14,2005,Lionel Gates,RB,22,0,Louisville,6-0,222,4.6,36.0,23.0,121.0,7.17,4.1,Buffalo Bills / 7th / 236th pick / 2005
14,15,2005,Ciatrick Fason,RB,22,1,Florida,6-1,207,4.58,,,,,,Minnesota Vikings / 4th / 112th pick / 2005
15,16,2005,DeAndra Cobb,RB,23,0,Michigan State,5-10,196,4.49,34.0,17.0,118.0,7.13,4.25,Atlanta Falcons / 6th / 201st pick / 2005
16,17,2005,Ronnie Brown,RB,23,48,Auburn,6-0,233,4.43,34.0,18.0,117.0,7.1,4.08,Miami Dolphins / 1st / 2nd pick / 2005
17,18,2005,Nehemiah Broughton,RB,22,0,Citadel,5-11,250,4.59,30.0,25.0,108.0,7.54,4.28,Washington Redskins / 7th / 222nd pick / 2005
18,19,2005,Cedric Benson,RB,22,39,Texas,5-10,222,4.62,,,,,,Chicago Bears / 1st / 4th pick / 2005
19,20,2005,Marion Barber,RB,21,45,Minnesota,5-11,221,4.49,40.0,20.0,127.0,,,Dallas Cowboys / 4th / 109th pick / 2005
20,21,2005,J.J. Arrington,RB,22,12,California,5-9,214,4.4,35.0,18.0,121.0,6.81,4.1,Arizona Cardinals / 2nd / 44th pick / 2005
